C1524026||Intracellular Metabolism
C0001204||Acrolein
C0045968||Crotonaldehyde
C0047269||Methyl Vinyl Ketone
C0239059||Cigarette Smoke
C0017817||Glutathione
C1148560||Conjugation
C1151208||Aldehyde-Ketone Sensitive Reductase Activity
C0239059||cigarette smoke
C0001992||α,β-unsaturated aldehydes
C0001204||acrolein
C0001204||acrolein
C0045968||crotonaldehyde
C0045968||crotonaldehyde
C0022634||α,β-unsaturated ketone
C0047269||methyl vinyl ketone
C0047269||methyl vinyl ketone
C0017817||glutathione
C0017817||GSH
C0178719||intracellular
C0017817||GSH
C0239059||cigarette smoke
C0596402||cytotoxicity
C0239059||cigarette smoke extract
C0239059||cigarette smoke extract
C0025929||mouse
C1513095||melanoma cell
C0010454||culture medium
C0178719||intracellular
C0017817||GSH
C0017817||GSH
C0047269||methyl vinyl ketone
C0442726||detected
C0872318||LC/MS analysis
C0017817||GSH
C0045968||crotonaldehyde
C0442726||detected
C2603343||study
C0017817||GSH
C0045968||crotonaldehyde
C0442726||detect
C1513095||cell
C0010454||medium
C0026377||structures
C0001204||acrolein
C0045968||crotonaldehyde
C0047269||methyl vinyl ketone
C0239059||cigarette smoke extract
C0017817||GSH
C1513095||cell
C0010454||culture medium
C0037813||mass spectra
C1513095||cells
C0017817||GSH
C0045968||crotonaldehyde
C0017817||GSH
C0001204||acrolein
C0442726||detected
C0001975||corresponding alcohols
C0442726||detected
C0017817||GSH
C0047269||methyl vinyl ketone
C0442726||detected
C1513095||cells
C0017817||GSH
C0017817||GSH
C0001992||α,β-unsaturated aldehydes
C0045968||crotonaldehyde
C0001204||acrolein
C0178719||intracellular
C1135630||carbonyl reductase(s)
C1513095||cells
C0017817||GSH
C0022634||α,β-unsaturated ketone
C0047269||methyl vinyl ketone
C1151208||carbonyl reductase
C0596402||cytotoxicity
C0001992||α,β-unsaturated aldehydes
C0022634||ketones
