C3178952||grazing cow
C0012155||diet
C0443769||volatile compounds
C0007968||ripened Montasio cheese
C2603343||study
C0220825||evaluate
C0442534||pasture
C0007452||cow
C0242295||supplementation
C0007968||ripened Montasio
C1519193||protected designation of origin
C1519193||protected designation of origin
C0007968||cheese
C1519193||protected designation of origin
C0007968||cheeses
C0022277||northeast Italy
C0007968||Cheeses
C0443769||volatile compounds
C0282354||descriptors
C0442534||Pasture
C0007968||Cheeses
C0442534||pasture
C0678695||nutrient-rich
C0032099||vegetation
C0033684||protein
C0012171||fat
C0007968||cheeses
C0220825||evaluated
C0027363||sensory panel
C0936012||analyses
C0242295||Supplementation
C0443769||volatile compounds
C0936012||analysis
C0007968||ripened Montasio cheese
C1519193||protected designation of origin
