Anti-inflammatory	B:C0003209
and	O
antimicrobial	B:C1136254
coumarins	B:C0010207
from	O
the	O
stems	B:C0242767
of	O
Eurya	B:C1050417
chinensis	I:C1050417
.	O

Two	O
new	O
coumarins	B:C0010207
,	O
named	O
(	B:C0010207
±	I:C0010207
)	I:C0010207
-	I:C0010207
euryacoumarin	I:C0010207
A	I:C0010207
(	O
1	O
)	O
and	O
6	B:C0010207
-	I:C0010207
demethylobtusinin	I:C0010207
(	O
2	O
)	O
,	O
and	O
one	O
new	O
natural	B:C0010207
coumarin	I:C0010207
,	O
named	O
euryacoumarin	B:C0010207
B	I:C0010207
(	O
3	O
)	O
,	O
along	O
with	O
two	O
known	O
compounds	O
,	O
scopoletin	B:C0036447
(	O
4	O
)	O
and	O
obtusinol	B:C0574031
(	O
5	O
)	O
,	O
were	O
isolated	O
from	O
the	O
stems	B:C0242767
of	O
Eurya	B:C1050417
chinensis	I:C1050417
.	O

Their	O
structures	B:C0678594
were	O
elucidated	O
by	O
means	O
of	O
extensive	O
spectroscopic	B:C0022885
methods	I:C0022885
and	O
comparison	O
with	O
data	O
reported	O
in	O
the	O
literatures	B:C0023866
.	O

Compound	B:C0010206
1	I:C0010206
exhibited	O
significant	O
inhibition	O
of	O
LPS	B:C0007613
-	I:C0007613
induced	I:C0007613
nitric	I:C0007613
oxide	I:C0007613
(	I:C0007613
NO	I:C0007613
)	I:C0007613
production	I:C0007613
in	O
RAW264.7	B:C4042840
cells	I:C4042840
with	O
IC50	O
value	O
of	O
35.64	O
±	O
1.73	O
μM	O
,	O
and	O
showed	O
marginal	O
antibacterial	B:C0279516
activities	O
against	O
Bacillus	B:C0004595
subtilis	I:C0004595
and	O
B.	B:C0004590
cereus	I:C0004590
with	O
MIC	B:C1304747
values	I:C1304747
of	O
50.59	O
±	O
2.12	O
and	O
35.42	O
±	O
0.96	O
μM	O
,	O
respectively	O
.	O

