C1998468||Photophysical Properties
C0026381||Molecular Probe
C0026380||Turn-ON-Type Detection
C0010843||Cytosine Bulge
C0012854||DNA
C2001813||fluorescent molecule DANP
C0010843||cytosine bulge
C0012854||DNA
C0522529||conjugated
C0072667||pyrene
C0016321||fluorescence probe PyDANP
C0037638||solvent
C2001813||DANP
C3272897||stacked
C1822393||room temperature
C0026380||quenched fluorescence
C2001813||DANP
C0016321||PyDANP
C0010843||cytosine bulge
C0012854||DNA
C2001813||DANP
C0010843||C-bulge
C0016321||PyDANP
C0026380||turn-ON probe for the detection
C0010843||C-bulge
C0012854||DNA.
