Recognising	B:C0524637
and	O
responding	B:C2911692
to	O
'	O
cutting	O
corners	O
'	O
when	O
providing	O
nursing	B:C0028682
care	I:C0028682
:	O
a	O
qualitative	B:C0949415
study	I:C0949415

The	O
aim	O
of	O
this	O
study	B:C2603343
is	O
to	O
report	O
on	O
a	O
key	O
finding	B:C0243095
of	O
a	O
larger	B:C2603343
study	I:C2603343
investigating	O
the	O
'	O
gaps	B:C3887622
'	O
in	O
patient	B:C0017313
care	I:C0017313
that	O
registered	B:C0028661
nurses	I:C0028661
encounter	O
during	O
the	O
course	O
of	O
their	O
practice	O
.	O

A	O
key	O
finding	B:C0243095
of	O
this	O
larger	B:C2603343
study	I:C2603343
was	O
that	O
'	O
cutting	O
corners	O
'	O
was	O
a	O
gap	B:C3887622
discerned	O
by	O
nurses	B:C0028661
.	O

Cutting	O
corners	O
'	O
has	O
been	O
characterised	O
as	O
a	O
'	O
violation	O
'	O
and	O
threat	O
to	O
patient	B:C1113679
safety	I:C1113679
,	O
although	O
there	O
is	O
a	O
paucity	O
of	O
research	B:C0035168
on	O
this	O
issue	O
.	O

Naturalistic	O
inquiry	O
using	O
a	O
qualitative	B:C0449445
exploratory	I:C0449445
descriptive	I:C0449445
approach	I:C0449445
.	O

Data	O
were	O
collected	O
from	O
a	O
purposeful	O
sample	O
of	O
71	O
registered	B:C0028661
nurses	I:C0028661
from	O
emergency	B:C0562508
department	I:C0562508
,	O
critical	B:C0010337
care	I:C0010337
,	O
perioperative	O
,	O
rehabilitation	O
and	O
transitional	B:C4019071
care	I:C4019071
and	O
neurosciences	B:C1518301
settings	I:C1518301
in	O
Australia	B:C0004340
and	O
analysed	O
using	O
content	O
and	O
thematic	B:C0936012
analysis	I:C0936012
strategies	O
.	O

Cutting	O
corners	O
was	O
a	O
common	O
practice	O
that	O
encompassed	O
(	O
1	O
)	O
the	O
partial	O
or	O
complete	O
omission	O
of	O
patient	B:C0017313
care	I:C0017313
,	O
(	O
2	O
)	O
delays	O
in	O
providing	B:C1276770
care	I:C1276770
and	O
(	O
3	O
)	O
the	O
failure	O
to	O
do	O
things	O
correctly	O
.	O

Corners	O
were	O
cut	O
in	O
patient	O
assessment	B:C0220825
,	O
essential	O
nursing	B:C0028682
care	I:C0028682
,	O
the	O
care	B:C3164597
of	I:C3164597
central	I:C3164597
venous	I:C3164597
catheters	I:C3164597
and	O
medication	B:C3469597
administration	I:C3469597
.	O

The	O
practice	O
of	O
cutting	O
corners	O
was	O
perceived	O
as	O
contributing	O
to	O
preventable	B:C1299581
adverse	B:C0877248
events	I:C0877248
.	O

The	O
study	B:C2603343
found	O
that	O
cutting	O
corners	O
created	O
gaps	B:C3887622
that	O
contributed	O
to	O
unfinished	O
nursing	B:C0028682
care	I:C0028682
and	O
preventable	B:C1299581
adverse	B:C0877248
events	I:C0877248
.	O

The	O
findings	B:C0243095
of	O
the	O
study	B:C2603343
raise	O
the	O
possibility	O
that	O
cutting	O
corners	O
is	O
a	O
salient	O
but	O
underinvestigated	O
characteristic	O
of	O
nursing	B:C0028687
practice	I:C0028687
.	O

Further	O
research	B:C0035168
and	O
inquiry	O
are	O
needed	O
to	O
deepen	O
understanding	O
of	O
cutting	O
corners	O
and	O
its	O
impact	O
on	O
patient	B:C1113679
safety	I:C1113679
.	O

Identifying	O
the	O
nature	O
and	O
implications	B:C0243095
of	O
cutting	O
corners	O
when	O
providing	O
nursing	B:C0028682
care	I:C0028682
is	O
an	O
important	O
contributing	O
factor	O
to	O
improving	O
patient	B:C1113679
safety	I:C1113679
and	O
quality	B:C0034379
care	I:C0034379
.	O

