C0872252||Proteomic
C0936012||analysis
C0246415||docetaxel
C0013203||resistance
C0086418||human
C2931822||nasopharyngeal carcinoma
C0597032||cells
C0013860||two-dimensional gel electrophoresis method
C0246415||Docetaxel
C3665472||chemotherapy
C2931822||nasopharyngeal carcinoma
C2931822||nasopharyngeal carcinoma
C0162643||treatment failure
C0013203||drug resistance
C0681814||study
C0246415||docetaxel
C0013203||resistant
C2931822||nasopharyngeal carcinoma
C0085983||cell line CNE-2R
C0246415||docetaxel
C0013860||Two-dimensional gel electrophoresis
C1171362||expression
C0246415||docetaxel
C0013203||resistance
C0033684||associated proteins
C0086418||human
C2931822||nasopharyngeal carcinoma
C0007634||CNE-2 cells
C0246415||docetaxel
C0013203||resistant
C0007634||CNE-2R cells
C2825142||result
C1171362||expressed proteins
C0033684||proteins
C1171362||expression
C0033684||proteins
C1171362||expression
C1527118||proteins function
C3714634||biological processes
C0037083||signal transduction
C1148580||calcium ion binding
C0301872||immune response
C0597304||proteolysis
C2364020||α-enolase
C2364020||ENO1
C0007634||CNE-2R
C0936012||analysis
C2364020||ENO1
C2930586||shRNA
C0007634||CNE-2R cells
C0246415||docetaxel
C1514559||overexpression
C2364020||ENO1
C0013203||resistance
C0246415||docetaxel
C0007634||CNE-2 cells
C0005863||Western blot
C0599161||reverse-transcription PCR
C2364020||α-enolase
C0246415||docetaxel
C0013203||resistant
C0086418||human
C2931822||nasopharyngeal carcinoma
C0040300||tissues
C0243095||Finding
C0033684||proteins
C0184511||improve
C0459471||interpretation
C3537153||molecular mechanisms
C0246415||docetaxel
C0013203||chemoresistance
