Neonatal	B:C1533637
Heart	I:C1533637
-	O
Enriched	O
miR-708	B:C1101610
Promotes	O
Differentiation	B:C0007589
of	O
Cardiac	B:C4084729
Progenitor	I:C4084729
Cells	I:C4084729
in	O
Rats	B:C0034693
Cardiovascular	B:C0007222
disease	I:C0007222
is	O
becoming	O
the	O
leading	O
cause	B:C0007465
of	I:C0007465
death	I:C0007465
throughout	O
the	O
world	B:C2700280
.	O

However	O
,	O
adult	O
hearts	B:C0018787
have	O
limited	O
potential	O
for	O
regeneration	B:C0034963
after	O
pathological	O
injury	B:C3263723
,	O
partly	O
due	O
to	O
the	O
quiescent	O
status	O
of	O
stem	B:C4084729
/	O
progenitor	B:C0038250
cells	I:C0038250
.	O

Reactivation	O
of	O
cardiac	B:C4084729
stem	I:C4084729
/	O
progenitor	B:C0038250
cells	I:C0038250
to	O
create	O
more	O
myocyte	B:C0596981
progeny	B:C0038250
is	O
one	O
of	O
the	O
key	O
steps	O
in	O
the	O
regeneration	B:C0034963
of	O
a	O
damaged	O
heart	B:C0018787
.	O

In	O
this	O
study	O
,	O
miR-708	B:C1101610
was	O
identified	O
to	O
be	O
enriched	O
in	O
the	O
neonatal	O
cardiomyocytes	B:C0225828
of	O
rats	B:C0034693
,	O
but	O
this	O
has	O
not	O
yet	O
been	O
proven	O
in	O
adult	O
humans	B:C0086418
.	O

A	O
lower	O
level	O
of	O
miR	B:C1101610
-708	I:C1101610
in	O
c	B:C1416655
-	I:C1416655
kit	I:C1416655
(+	I:C1416655
)	I:C1416655
stem	B:C4084729
/	O
progenitor	B:C0038250
cells	I:C0038250
was	O
detected	O
compared	O
to	O
non-progenitors	B:C0007634
.	O

Overexpression	B:C1514559
of	O
miR-708	B:C2239706
induced	O
cardiomyocyte	B:C0225828
differentiation	O
of	O
cardiac	B:C4084729
stem	I:C4084729
/	O
progenitor	B:C0038250
cells	I:C0038250
.	O

This	O
finding	O
strengthened	O
the	O
potential	O
of	O
applying	O
miRNAs	B:C1101610
in	O
the	O
regeneration	B:C0034963
of	O
injured	O
hearts	B:C0018787
,	O
and	O
this	O
indicates	O
that	O
miR-708	B:C1101610
could	O
be	O
a	O
novel	O
candidate	O
for	O
treatment	B:C0087111
of	O
heart	B:C0018799
diseases	I:C0018799
.	O

