Bone	B:C0262950
-	O

Albumin	B:C0001924
filling	O
decreases	O
donor	O
site	I:C1444716
morbidity	O
and	O
enhances	O
bone	O
formation	I:C0029433
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
reconstruction	O
with	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
autografts	O
Donor	O
site	I:C1444716
pain	O
affects	O
32	O
-	O
43	O
%	O
of	O
patients	O
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
surgery	O
when	O
the	O
autograft	O
is	O
freshly	O
harvested	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
tissue	I:C3658331
.	O

Albumin	O
filling	B:C0087111
decreases	O
donor	O
site	I:C1444716
morbidity	O
and	O
enhances	O
bone	O
formation	I:C0029433
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
reconstruction	O
with	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
autografts	O
Donor	O
site	I:C1444716
pain	O
affects	O
32	O
-	O
43	O
%	O
of	O
patients	O
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
surgery	O
when	O
the	O
autograft	O
is	O
freshly	O
harvested	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
tissue	I:C3658331
.	O

Albumin	O
filling	O
decreases	O
donor	B:C1444716
site	I:C1444716
morbidity	O
and	O
enhances	O
bone	O
formation	I:C0029433
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
reconstruction	O
with	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
autografts	O
Donor	O
site	I:C1444716
pain	O
affects	O
32	O
-	O
43	O
%	O
of	O
patients	O
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
surgery	O
when	O
the	O
autograft	O
is	O
freshly	O
harvested	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
tissue	I:C3658331
.	O

Albumin	O
filling	O
decreases	O
donor	O
site	I:C1444716
morbidity	O
and	O
enhances	O
bone	B:C0029433
formation	I:C0029433
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
reconstruction	O
with	O
bone	O
-	I:C3658331
patellar	I:C3658331
tendon	I:C3658331
-	I:C3658331
bone	I:C3658331
autografts	O
Donor	O
site	I:C1444716
pain	O
affects	O
32	O
-	O
43	O
%	O
of	O
patients	O
after	O
anterior	O
cruciate	I:C0078960
ligament	I:C0078960
surgery	O
when	O
the	O
autograft	O
is	O
freshly	O
harvested	O
