Learning	B:C0023185
Is	O
Better	O
with	O
the	O
Hands	O
Free	O
:	O
The	O
Role	O
of	O
Posture	O
in	O
the	O
Memory	B:C0025260
of	O
Manipulable	O
Objects	O
Grounded	B:C1510611
cognition	B:C0009240
proposes	O
that	O
memory	B:C0025260
shares	O
processing	O
resources	O
with	O
sensorimotor	O
systems	O
.	O

The	O
aim	O
of	O
the	O
present	O
study	B:C2603343
was	O
to	O
show	O
that	O
motor	B:C0231502
simulation	B:C0679083
participates	O
in	O
the	O
conceptual	B:C0237661
representation	I:C0237661
of	O
manipulable	O
objects	O
in	O
long	B:C0423909
-	I:C0423909
term	I:C0423909
memory	I:C0423909
.	O

In	O
two	O
experiments	B:C0681814
,	O
lists	B:C0745732
of	O
manipulable	O
and	O
nonmanipulable	O
objects	O
were	O
presented	O
.	O

Participants	B:C0679646
were	O
instructed	B:C1442085
to	O
memorize	O
the	O
items	O
while	O
adopting	O
different	O
postures	O
.	O

In	O
the	O
control	O
condition	O
,	O
they	O
had	O
to	O
keep	O
their	O
hands	B:C0018563
at	O
rest	O
in	O
front	O
of	O
them	O
.	O

In	O
the	O
interference	B:C0679066
condition	I:C0679066
,	O
participants	B:C0679646
had	O
to	O
keep	O
their	O
hands	B:C0018563
crossed	B:C0205203
behind	O
their	O
back	B:C0004600
to	O
make	O
their	O
hands	B:C0018563
less	O
free	O
for	O
action	O
.	O

After	O
each	O
list	B:C0745732
,	O
participants	B:C0679646
had	O
to	O
perform	O
first	O
a	O
distractive	O
task	O
,	O
and	O
then	O
an	O
oral	B:C0442027
free	O
recall	B:C0034770
.	O

The	O
results	O
showed	O
that	O
the	O
interfering	O
posture	O
produced	O
a	O
specific	O
decrease	O
in	O
the	O
recall	B:C0034770
of	O
manipulable	O
objects	O
,	O
but	O
not	O
of	O
nonmanipulable	O
ones	O
.	O

This	O
decrease	O
was	O
similar	O
when	O
the	O
items	O
were	O
presented	O
as	O
pictures	O
(	O
Experiment	B:C0681814
1	O
)	O
or	O
as	O
words	B:C0042926
(	O
Experiment	B:C0681814
2	O
)	O
,	O
thus	O
excluding	O
a	O
purely	O
visual	O
effect	O
.	O

These	O
results	O
provide	O
strong	O
evidence	O
that	O
the	O
motor	B:C0231502
simulation	B:C0679083
plays	O
a	O
role	O
in	O
the	O
memory	O
trace	O
of	O
the	O
object	O
.	O

