C1518918||pattern recognition
C0242481||medical studies
C0080105||subject
C0080105||subjects
C0012634||disease
C0445183||Paralleling
C0679575||neuroimaging
C0002045||pattern recognition algorithms
C0012634||disease
C0025663||pattern recognition methods
C0679575||neuroimaging
C0010362||cross-sectional style analysis
C0002045||pattern recognition algorithms
C0080105||subject
C0080105||subjects
C1270972||mild cognitive impairment
C0497327||dementia
C0080105||subjects
C0010362||cross-sectional
C0080105||disease subjects
C0006104||brain
C0412675||magnetic resonance image
C0080105||subjects
C0012634||disease
C0080105||subjects
C0002045||image registration algorithm
