Highly	B:C3516584
sensitive	I:C3516584
detection	I:C3516584
of	I:C3516584
influenza	I:C3516584
virus	I:C3516584
by	O
boron	B:C0013812
-	I:C0013812
doped	I:C0013812
diamond	I:C0013812
electrode	I:C0013812
terminated	O
with	O
sialic	B:C0295247
acid-mimic	I:C0295247
peptide	I:C0295247
.	O

The	O
progression	B:C0242656
of	I:C0242656
influenza	I:C0242656
varies	O
according	O
to	O
age	O
and	O
the	O
presence	O
of	O
an	O
underlying	B:C0012634
disease	I:C0012634
;	O
appropriate	B:C3640049
treatment	I:C3640049
is	O
therefore	O
required	O
to	O
prevent	O
severe	O
disease	O
.	O

Anti-influenza	O
therapy	O
,	O
such	O
as	O
with	O
neuraminidase	B:C3541969
inhibitors	I:C3541969
,	O
is	O
effective	O
,	O
but	O
diagnosis	B:C0011900
at	O
an	O
early	O
phase	O
of	O
infection	O
before	O
viral	B:C0242656
propagation	I:C0242656
is	O
critical	O
.	O

Here	O
,	O
we	O
show	O
that	O
several	O
dozen	O
plaque	O
-	O
forming	O
units	O
(	O
pfu	O
)	O
of	O
influenza	B:C0029347
virus	I:C0029347
(	O
influenza	B:C0029347
virus	I:C0029347
)	O
can	O
be	O
detected	O
using	O
a	O
boron	B:C0013812
-	I:C0013812
doped	I:C0013812
diamond	I:C0013812
(	I:C0013812
BDD	I:C0013812
)	I:C0013812
electrode	I:C0013812
terminated	O
with	O
a	O
sialic	B:C0295247
acid-mimic	I:C0295247
peptide	I:C0295247
.	O

The	O
peptide	B:C0030956
was	O
used	O
instead	O
of	O
the	O
sialyloligosaccharide	B:C0074488
receptor	I:C0074488
,	O
which	O
is	O
the	O
common	O
receptor	B:C0034848
of	O
influenza	B:C0029347
A	I:C0029347
and	O
B	B:C0029348
viruses	I:C0029348
required	O
during	O
the	O
early	O
phase	O
of	O
infection	O
,	O
to	O
capture	O
IFV	B:C0042760
particles	I:C0042760
.	O

The	O
peptide	B:C0030956
,	O
which	O
was	O
previously	O
identified	O
by	O
phage	B:C3494191
-	I:C3494191
display	I:C3494191
technology	I:C3494191
,	O
was	O
immobilized	B:C2350558
by	O
click	B:C2936295
chemistry	I:C2936295
on	O
the	O
BDD	B:C0013812
electrode	I:C0013812
,	O
which	O
has	O
excellent	O
electrochemical	O
characteristics	O
such	O
as	O
low	O
background	O
current	O
and	O
weak	O
adsorption	B:C0001674
of	I:C0001674
biomolecules	I:C0001674
.	O

Electrochemical	B:C2936361
impedance	I:C2936361
spectroscopy	I:C2936361
revealed	O
that	O
H1N1	B:C1615607
and	O
H3N2	B:C1615053
IFVs	I:C1615053
were	O
detectable	B:C3830527
in	O
the	O
range	O
of	O
20	O
-	O
500	O
pfu	O
by	O
using	O
the	O
peptide	B:C0013812
-	I:C0013812
terminated	I:C0013812
BDD	I:C0013812
electrode	I:C0013812
.	O

Our	O
results	O
demonstrate	O
that	O
the	O
BDD	B:C0013812
device	I:C0013812
integrated	O
with	O
the	O
receptor	B:C0295247
-	I:C0295247
mimic	I:C0295247
peptide	I:C0295247
has	O
high	O
sensitivity	O
for	O
detection	O
of	O
a	O
low	O
number	O
of	O
virus	B:C0042760
particles	I:C0042760
in	O
the	O
early	O
phase	O
of	O
infection	O
.	O

