C0920317||meta-analysis
C0813171||St John's wort extract
C0011570||depression
C0087111||therapy
C0360105||selective serotonin reuptake inhibitors
C2603343||study
C0813171||St John's wort extract
C0360105||selective serotonin reuptake inhibitors
C0360105||selective serotonin reuptake inhibitors
C0011570||depression
C0242356||Databases
C0681814||studies
C0813171||St John's wort extract
C0360105||selective serotonin reuptake inhibitors
C0011570||depression
C0037585||Stata software
C0681814||studies
C2603343||study
C0011570||depression
C0813171||St John's wort extract
C0360105||selective serotonin reuptake inhibitors
C4055223||clinical response
C0544452||remission
C0451203||Hamilton Rating Scale for Depression score
C0813171||St John's wort extract
C0877248||adverse events
C0360105||selective serotonin reuptake inhibitors
C0877248||adverse events
C0813171||St John's wort extract
C0011570||depression
C0813171||St John's wort extract
C0360105||selective serotonin reuptake inhibitors
C0011570||depression
C0813171||St John's wort extract
C0243095||safer
C0360105||selective serotonin reuptake inhibitors
