Regulation	B:C1327622
of	O
the	O
host	O
immune	B:C0020962
system	I:C0020962
by	O
helminth	B:C0018893
parasites	B:C0030498
Helminth	B:C0018889
parasite	I:C0018889
infections	I:C0018889
are	O
associated	O
with	O
a	O
battery	O
of	O
immunomodulatory	B:C0678889
mechanisms	I:C0678889
,	O
which	O
impact	O
all	O
facets	O
of	O
the	O
host	O
immune	B:C0301872
response	I:C0301872
to	O
ensure	O
their	O
persistence	O
within	O
the	O
host	O
.	O

This	O
broad	B:C0678889
-	I:C0678889
spectrum	I:C0678889
modulation	I:C0678889
of	O
host	O
immunity	B:C0020964
has	O
intended	O
and	O
unintended	O
consequences	O
,	O
both	O
advantageous	O
and	O
disadvantageous	O
.	O

Thus	O
the	O
host	O
may	O
benefit	O
from	O
suppression	O
of	O
collateral	B:C0178314
damage	I:C0178314
during	O
parasite	B:C0030498
infection	B:C3714514
,	O
and	O
from	O
reduced	O
allergic	B:C1527304
,	O
autoimmune	B:C0443146
and	O
inflammatory	B:C0021368
reactions	I:C0021368
.	O

However	O
,	O
helminth	B:C0018889
infection	I:C0018889
can	O
also	O
be	O
detrimental	O
in	O
reducing	O
vaccine	O
responses	O
,	O
increasing	O
susceptibility	B:C0012655
to	O
co-infection	B:C0275524
,	O
and	O
potentially	O
reducing	O
tumor	B:C0027651
immunosurveillance	B:C0021059
.	O

In	O
this	O
review	B:C0282443
we	O
will	O
summarize	O
the	O
panoply	O
of	O
immunomodulatory	B:C0678889
mechanisms	I:C0678889
used	O
by	O
helminths	B:C0018893
,	O
their	O
potential	O
utility	O
in	O
human	B:C0086418
disease	B:C0012634
,	O
and	O
prospective	O
areas	O
of	O
future	O
research	B:C0035168
.	O

