C0220862||Isolation
C0017262||expression
C0010028||maize
C0017337||nuclear factor Y gene families
C0910920||NUCLEAR FACTOR-Y
C0910920||NUCLEAR FACTOR-Y
C0597252||growth
C0597252||development
C0910920||NF-Y complex
C0599220||subunits
C3537354||NF-YA
C0599220||NF-YB
C0599220||NF-YC
C1332750||CCAAT sequences
C0086860||promoter
C0017262||expression of target genes
C0910920||NF-Y proteins
C0162741||Arabidopsis
C1140671||rice
C0936012||systematic analysis
C0017337||ZmNF-Y genes
C0017337||ZmNF-Y genes
C0017337||50 ZmNF-Y
C1417715||14 ZmNF-YA
C1417716||18 ZmNF-YB
C1417717||ZmNF-YC
C0017337||genes
C0936012||analysis
C0010028||maize
C0017428||genome
C0017337||ZmNF-Y genes
C0010028||maize
C0008633||chromosomes
C1709461||paralogs
C0080143||Multiple alignments
C0010028||maize
C0910920||ZmNF-Y family proteins
C0009802||conserved regions
C1706793||N-terminal
C1707271||C-terminal domains
C0314612||syntenic
C0008630||map
C1709461||paralogous
C0017337||NF-Y gene
C0010028||10 maize
C0008633||chromosomes
C2985495||Microarray
C0017337||ZmNF-Y genes
C1519516||tissue-specific expression
C0010028||maize
C2611806||response to biotic
C2611805||abiotic stresses
C1417716||ZmNF-YB2, 4, 8, 10, 13, and 16
C1417717||ZmNF-YC6, 8, and 15
C1417715||ZmNF-YA1, 3, 4, 6, 7, 10, 12, and 13
C1417716||ZmNF-YB15
C1417717||ZmNF-YC3 and 9
C0038435||stress
C1417715||ZmNF-YA3
C1417715||ZmNF-YA8
C1417715||ZmNF-YA12
C0041904||upregulated
C3714514||infection
C1417715||ZmNF-YA1
C1417716||ZmNF-YB2
C0910920||ZmNF-Ys
C2611805||response to abiotic
C2611806||biotic stresses
