C1979963||Profiles
C0600139||Prostate Carcinoma
C2145472||Urothelial Carcinoma
C0007112||prostate adenocarcinoma
C0007112||prostate adenocarcinoma
C0005682||urinary bladder
C2145472||urothelial carcinoma
C2145472||urothelial carcinoma
C0332448||infiltrating
C0033572||prostate
C0087111||treatment
C0007112||prostate adenocarcinoma
C2145472||urothelial carcinoma
C0019994||Seoul St. Mary's Hospital
C2603343||studied
C0474700||evaluation
C0033572||prostatic
C0041365||markers
C0138741||prostate-specific antigen
C0138741||prostate-specific antigen
C1310550||prostate-specific membrane antigen
C1310550||prostate-specific membrane antigen
C1740167||prostate acid phosphatase
C1740167||prostate acid phosphatase
C0965053||P501s
C1505704||NKX3.1
C0666209||α-methylacyl coenzyme A racemase
C0666209||and α-methylacyl coenzyme A racemase
C0227598||urothelial
C0041365||markers
C0908867||CK34βE12
C1431519||p63
C0145779||thrombomodulin
C1447472||S100P
C1307598||GATA binding protein 3
C1307598||GATA3
C0027651||tumor
C0033572||prostatic
C0041365||markers
C0007112||prostate adenocarcinoma
C0138741||prostate-specific antigen
C1310550||prostate-specific membrane antigen
C1740167||prostate acid phosphatase
C0965053||P501s
C1505704||NKX 3.1
C0666209||and α-methylacyl coenzyme A racemase
C0227598||urothelial
C0041365||markers
C0908867||CK34βE12
C1431519||p63
C0145779||thrombomodulin
C1447472||S100P
C1307598||GATA3
C1446409||positive
C0007112||prostate adenocarcinoma
C0227598||urothelial
C0041365||markers
C2145472||urothelial carcinoma
C0908867||CK34βE12
C1431519||p63
C0145779||thrombomodulin
C1447472||S100P
C1307598||GATA3
C0033572||prostatic
C0041365||markers
C0138741||prostate-specific antigen
C1310550||prostate-specific membrane antigen
C1740167||prostate acid phosphatase
C0965053||P501s
C1505704||NKX3.1
C0666209||and α-methylacyl coenzyme A racemase
C1446409||positive
C2145472||urothelial carcinoma
C0033572||Prostatic
C0227598||urothelial
C0041365||markers
C0138741||prostate-specific antigen
C1505704||NKX3.1
C1431519||p63
C0145779||thrombomodulin
C1307598||GATA3
C0007112||prostate adenocarcinoma
C2145472||urothelial carcinoma
C0033572||prostatic
C0227598||urothelial
C0041365||markers
C0184511||improve
C1299581||ability
C0007112||prostate adenocarcinoma
C2145472||urothelial carcinoma
