C0008439||Cartilage inflammation
C1285228||degeneration
C0024432||(M1) macrophages
C4086555||(M2) macrophages
C0024432||Macrophages
C0029408||osteoarthritis
C0029408||osteoarthritis
C0024432||macrophage
C0449560||subtypes
C0007301||cartilage
C0430400||culturing
C0024432||macrophage
C0162518||conditioned medium
C0162518||macrophage conditioned medium
C0086418||human
C0007303||articular cartilage
C0086418||Human
C0029408||osteoarthritis
C0007301||cartilage
C0444933||explants
C0430400||cultured
C0162518||macrophage conditioned medium
C0024432||pro-inflammatory M
C0021745||IFNγ
C1456820||TNFα
C0024432||anti-inflammatory M
C0021758||IL-4)
C0024432||M
C0085295||IL-10
C0086418||human
C0024432||monocyte-derived macrophages
C0024432||anti-inflammatory macrophages
C0007301||cartilage
C0430400||cultured
C0162518||macrophage conditioned medium
C0021745||IFNγ
C1456820||TNFα
C0007301||cartilage
C0430400||culture
C0162518||macrophage conditioned medium
C0017262||gene expression
C3155545||nitric oxide (NO) production
C0017973||glycosaminoglycans
C0017973||glycosaminoglycans
C0024432||M
C0021745||IFNγ
C1456820||TNFα
C0162518||macrophage conditioned medium
C0029408||osteoarthritis
C0007301||cartilage
C0041904||upregulation
C0021753||IL1B
C0021753||Interleukin 1β
C0021760||IL6
C0255672||Matrix Metalloproteinase-13
C0255672||Matrix Metalloproteinase-13
C4255122||A Disintegrin And Metalloproteinase with Thrombospondin Motifs-5
C4255122||A Disintegrin And Metalloproteinase with Thrombospondin Motifs-5
C1429453||aggrecan
C1429453||aggrecan
C1505419||COL2A1
C1505419||collagen type II
C0024432||M
C0085295||IL-10
C0041904||upregulated
C0021753||IL1B
C3275256||Suppressor of cytokine signaling 1
C3275256||Suppressor of cytokine signaling 1
C3155545||NO production
C0017973||GAG
C0007301||cartilage
C0430400||cultured
C0024432||M
C0021745||IFNγ
C1456820||TNFα
C0162518||macrophage conditioned medium
C0024432||M
C0021758||IL-4)
C0024432||M
C0085295||IL-10)
C0024432||M
C0021745||IFNγ
C1456820||TNFα
C0162518||macrophage conditioned medium
C0021745||IFNγ
C1456820||TNFα
C0007301||cartilage
C0017337||inflammatory gene
C0024432||M
C0021745||IFNγ
C1456820||TNFα
C0024432||macrophages
C0029408||osteoarthritis
C0007301||cartilage
C0024432||M
C0021758||IL-4)
C0024432||M
C0085295||IL-10)
C0024432||M
C0021745||IFNγ
C1456820||TNFα
C0021745||IFN
C1456820||TNFα
C0021368||inflammation
C0007301||cartilage
C0087111||Therapies
C1285228||cartilage degeneration
C0038855||suppression
C0024432||pro-inflammatory macrophages
C0024432||anti-inflammatory macrophages
