Amyloid	B:C0002716
Aggregates	O
Arise	O
from	O
Amino	B:C0002520
Acid	I:C0002520
Condensations	O
under	O
Prebiotic	O
Conditions	O
.	O

Current	O
theories	O
on	O
the	O
origin	O
of	O
life	O
reveal	O
significant	O
gaps	B:C3887622
in	O
our	O
understanding	B:C0162340
of	O
the	O
mechanisms	O
that	O
allowed	O
simple	O
chemical	B:C0220806
precursors	O
to	O
coalesce	O
into	O
the	O
complex	B:C1704241
polymers	B:C0032521
that	O
are	O
needed	O
to	O
sustain	O
life	O
.	O

The	O
volcanic	B:C0242922
gas	I:C0242922
carbonyl	B:C0054714
sulfide	I:C0054714
(	B:C0054714
COS	I:C0054714
)	I:C0054714
is	O
known	O
to	O
catalyze	O
the	O
condensation	O
of	O
amino	B:C0002520
acids	I:C0002520
under	O
aqueous	O
conditions	O
,	O
but	O
the	O
reported	B:C0684224
di-	B:C0012512
,	O
tri-	B:C0030956
,	O
and	O
tetra-peptides	B:C0030956
are	O
too	O
short	O
to	O
support	O
a	O
regular	O
tertiary	B:C0162808
structure	I:C0162808
.	O

Here	O
,	O
we	O
demonstrate	O
that	O
alanine	B:C0001898
and	O
valine	B:C0042285
,	O
two	O
of	O
the	O
proteinogenic	B:C0002520
amino	I:C0002520
acids	I:C0002520
believed	O
to	O
have	O
been	O
among	O
the	O
most	O
abundant	O
on	O
a	O
prebiotic	O
earth	O
,	O
can	O
polymerize	O
into	O
peptides	B:C0030956
and	O
subsequently	O
assemble	O
into	O
ordered	O
amyloid	B:C0475316
fibers	I:C0475316
comprising	O
a	O
cross	B:C0600313
-β-	I:C0600313
sheet	I:C0600313
quaternary	I:C0600313
structure	I:C0600313
following	O
carbonyl	B:C0054714
sulfide	I:C0054714
-	O
activated	O
continuous	O
polymerization	O
of	O
as	O
little	O
as	O
1	O
mm	O
amino	B:C0002520
acid	I:C0002520
.	O

Furthermore	O
,	O
this	O
spontaneous	O
assembly	O
is	O
not	O
limited	O
to	O
pure	O
amino	B:C0002520
acids	I:C0002520
,	O
since	O
mixtures	O
of	O
glycine	B:C0017890
,	O
alanine	B:C0001898
,	O
aspartate	B:C0085845
,	O
and	O
valine	B:C0042285
yield	O
similar	O
structures	B:C0678594
.	O

