C0074785||Na(+)/H(+) exchanger
C0225828||cardiomyocytes
C1259929||β-Raf
C1704259||pathways
C0040005||Thr(653)
C1511625||cytosolic tail
C0024660||mammalian
C1113671||Na(+)/H(+) exchanger isoform 1
C1113671||Na(+)/H(+) exchanger isoform 1
C1179841||plasma membrane protein
C1655052||regulator of intracellular pH
C0225828||cardiomyocytes
C1513110||amino acid membrane domain
C0033727||protons
C0002520||amino acid
C1511625||cytosolic domain
C0027061||myocardium
C1327622||regulation
C1113671||Na(+)/H(+) exchanger isoform 1
C0035126||ischemia reperfusion damage
C1383860||heart hypertrophy
C0332128||examined
C1327622||regulation
C1113671||Na(+)/H(+) exchanger isoform 1
C0027061||myocardium
C0079284||endothelin
C1259929||β-Raf
C0079284||Endothelin
C1113671||Na(+)/H(+) exchanger isoform 1
C3179234||Erk-dependent pathways
C1259929||β-Raf
C1113671||Na(+)/H(+) exchanger isoform 1
C3179234||Erk-pathway
C0027061||myocardial
C1259929||β-Raf
C1707271||C-terminal 182 amino acids
C1113671||NHE1 protein
C1259929||β-Raf
C1113671||Na(+)/H(+) exchanger isoform 1
C0225828||cardiomyocytes
C1113671||Na(+)/H(+) exchanger isoform 1
C0031715||phosphorylated
C1515655||in vivo
C1449702||protein kinase inhibitor
C1516119||sorafenib
C1113671||Na(+)/H(+) exchanger isoform 1
C0031715||phosphorylation
C0301871||Immunoprecipitates
C1259929||β-Raf
C0225828||cardiomyocytes
C0031715||phosphorylated
C1707271||C-terminal 182 amino acids
C1113671||Na(+)/H(+) exchanger isoform 1
C0037813||mass spectrometry analysis
C0002520||amino acid
C0040005||Thr(653)
C0031715||phosphorylated
C0026882||Mutation
C0002520||amino acid
C0001898||Ala
C0026882||mutation
C0085845||Asp
C0456984||results
C0040005||Thr(653)
C0002520||amino acid
C1113671||Na(+)/H(+) exchanger isoform 1
C1259929||β-Raf
C1704259||pathways
C0031715||phosphorylation
C1259929||β-Raf
C1113671||Na(+)/H(+) exchanger isoform 1
