C3537153||Molecular mechanism
C0672708||suberoylanilide hydroxamic acid
C0004391||autophagy
C0431085||tumor cells
C0080055||p53
C1704259||pathway
C2603343||studies
C1512474||histone deacetylase inhibitors
C1512474||histone deacetylase inhibitors
C0003392||anticancer agents
C1326205||apoptosis induction
C0004391||autophagy
C0087111||treatment
C0006826||malignant
C0338113||uterine sarcoma
C0007634||cells
C1512474||histone deacetylase inhibitors
C0672708||suberoylanilide hydroxamic acid
C0672708||suberoylanilide hydroxamic acid
C0004391||autophagy
C0007600||ESS-1 cells
C0162638||apoptosis
C0007600||MES-SA cells
C2603343||studies
C0672708||suberoylanilide hydroxamic acid
C0007600||ESS-1
C0007600||MES-SA cells
C1171362||protein expression
C0005516||markers
C0162638||apoptosis
C0936012||analysis
C0033684||protein
C0007634||cell
C0681814||experiments
C1517499||gene transfer
C0007634||cells
C0162638||apoptosis
C0004391||autophagy
C0020985||immunoblotting
C1150130||caspase activity
C1144120||LC3
C0066746||MDC
C0033470||PI
C0487602||staining
C0022917||LDH
C0005507||assays
C0007634||cell
C0596402||cytotoxicity
C0333781||autophagic
C0017362||regulatory genes
C1414805||mammalian target of rapamycin
C1414805||mammalian target of rapamycin
C0007600||MES-SA cells
C0026882||TP53-637C>T
C0544885||nonsense mutation
C0040624||transactivating
C0079419||oncogenic suppressor p53
C0033684||protein
C1310243||PUMA
C0007600||ESS-1 cells
C1883559||wild-type
C0079419||TP53
C0672708||suberoylanilide hydroxamic acid
C0007600||ESS-1 cells
C0162638||apoptotic cell death
C0041904||upregulation
C1310243||PUMA
C0910167||caspase-9
C0010656||caspases-3
C0010656||7
C1567710||PARP-1
C0013081||downregulation
C0004391||autophagy
C0041904||upregulated
C1307407||mTor
C1307407||phospho-mTOR
C1171362||expression
C2611772||autophagosome formation
C1144120||LC3
C0066746||MDC
C0487602||staining
C0521449||cytoplasmic
C1327622||regulatory
C0080055||oncogenic suppressor p53
C0004391||autophagy
C0162638||apoptosis
C0080055||p53
C0162638||apoptosis
C1514892||resistance
C0672708||suberoylanilide hydroxamic acid
C0004391||autophagy
C0007600||ESS-1 cells
C0007600||MES-SA cells
C1136031||RNAi-silenced
C0080055||p53
C1171362||expression
C0080055||p53
C0085983||tumor cell lines
C0672708||suberoylanilide hydroxamic acid
C0004391||autophagy
C0080055||p53
C0333781||autophagic
C1704259||pathway
C0672708||suberoylanilide hydroxamic acid
C0087111||treatment
C0521449||cytoplasmic
C0080055||p53 protein
C3893721||molecular switch
C0672708||suberoylanilide hydroxamic acid
C0087111||therapeutic
