C1510464||Structural
C0243095||Culinary
C0243095||Anti-Nutritional
C0033684||Protein
C0460378||Gluten Free, 100% Legume Pasta
C0043137||Wheat
C0452694||pasta
C0678594||structure
C0017842||gluten
C0017842||gluten
C0027361||people
C0033684||protein
C0344351||gluten-free
C0453184||legume
C0016260||flours
C0225326||fibers
C0038179||starch
C0026162||minerals
C0460378||gluten-free pasta
C2603343||study
C0460378||gluten-free pasta
C0004896||faba
C0023323||lentil
C0453212||black-gram
C0016260||flours
C0678594||structure
C0038179||starch
C0012238||digestion
C0936012||analyzed
C0007757||cereal
C0344351||gluten-free
C0680536||commercial
C0452694||pasta
C0041236||Trypsin
C1524081||inhibitory activity
C0031855||phytic acid
C0016956||α-galactosides
C0016260||flours
C0452694||pasta
C0453184||legume
C0452694||pasta
C0033684||protein
C0038179||starch
C0225326||fibers
C0033684||protein
C0452694||pasta
C0678594||structure
C0452694||pasta
C0453212||Black-gram
C0452694||pasta
C0225326||fibers
C0004896||faba
C0023323||lentil
C0452694||pasta
C0680536||commercial
C0007757||cereal
C0460378||gluten-free pasta
C0453184||legume
C0452694||pasta
C0678594||structure
C0023323||lentil
C0004896||faba
C0452694||pasta
C0038179||starch
C0680536||commercial
C0460378||gluten-free pasta
C0012238||digestion process
C0243095||Anti-nutritional
C0453184||legumes
C0041236||trypsin
C1524081||inhibitory activity
C0016956||α-galactosides
C0452694||pasta
C0031855||phytic acid
C0453184||legumes
C0475638||gluten-free pasta with a low glycemic index
