Complete	B:C2348746
Genome	I:C2348746
Sequence	I:C2348746
of	O
the	O
Largest	O
Known	O
Flavi	B:C0042776
-	I:C0042776
Like	I:C0042776
Virus	I:C0042776
,	O
Diaphorina	B:C0042776
citri	I:C0042776
flavi	I:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
,	O
a	O
Novel	O
Virus	B:C0042776
of	O
the	O
Asian	B:C0008865
Citrus	I:C0008865
Psyllid	B:C0600236
,	O
Diaphorina	B:C1058727
citri	I:C1058727
.	O

A	O
novel	O
flavi	B:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
tentatively	O
named	O
Diaphorina	B:C0042776
citri	I:C0042776
flavi	I:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
(	O
Diaphorina	B:C0042776
citri	I:C0042776
flavi	I:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
)	O
was	O
identified	O
in	O
field	O
populations	B:C1257890
of	O
Diaphorina	B:C1058727
citri	I:C1058727
through	O
small	B:C0035709
RNA	I:C0035709
and	O
transcriptome	B:C4086963
sequencing	I:C4086963
followed	O
by	O
reverse	B:C0599161
transcription	I:C0599161
(	I:C0599161
RT	I:C0599161
)	I:C0599161
-	I:C0599161
PCR	I:C0599161
.	O

We	O
report	O
here	O
the	O
complete	O
nucleotide	B:C0314659
sequence	I:C0314659
and	O
genome	B:C1337068
organization	I:C1337068
of	O
Diaphorina	B:C0042776
citri	I:C0042776
flavi	I:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
,	O
the	O
largest	O
flavi	B:C0042776
-	I:C0042776
like	I:C0042776
virus	I:C0042776
identified	O
to	O
date	O
.	O

