C0035171||Engineering Strategy
C0033618||Protein A-Binding
C0325202||Camelid
C3494231||Single-Domain Antibodies
C0038164||Staphylococcal protein A
C0038164||Staphylococcal protein A
C0075289||streptococcal protein G
C0075289||streptococcal protein G
C0008551||affinity chromatography
C0003250||monoclonal antibodies
C0003250||monoclonal antibodies
C0278296||therapeutic applications
C0325202||camelid
C3494234||VHH single-domain Abs
C3494231||sdAbs
C3494234||VHHs
C0075289||streptococcal protein G
C0038164||Staphylococcal protein A
C3494234||VHHs
C0597301||tag-based purification
C1292781||complexity
C3146302||mutagenesis
C0038164||Staphylococcal protein A
C0033618||binding
C3494234||non-SpA-binding VHHs
C0038164||Staphylococcal protein A
C0033618||binding
C3494234||VHHs
C0086418||human
C0003250||monoclonal antibodies
C0525038||substitutions
C0038164||Staphylococcal protein A
C0038164||Staphylococcal protein A
C0033618||binding
C3494234||VHHs
C1513916||no adverse effects
C1171362||expression
C1148575||antigen binding
C2936622||Next-generation sequencing
C0023919||llama
C0002186||alpaca
C0013127||dromedary
C1516006||VHH repertoires
C0038164||Staphylococcal protein A
C0033618||binding
C0032529||polymorphisms
C0038164||Staphylococcal protein A
C0033618||binding
C0325202||camelid
C3494234||VHHs
C0443264||modulated
C0597301||tag-less purification
C0449424||source species
