C0678941||Variant
C1422394||BACH2 Gene
C0012655||Susceptibility
C0271737||Autoimmune Addison's Disease
C0086418||Humans
C0271737||Autoimmune Addison's disease
C0271737||Autoimmune Addison's disease
C0019247||highly heritable condition
C1453878||BACH2 protein
C2246791||T lymphocyte maturation
C0017337||gene
C0004368||autoimmune conditions
C0002085||alleles
C0752046||rs3757247 single nucleotide polymorphism
C0752046||single nucleotide polymorphism
C1422394||BACH2 gene
C0271737||Autoimmune Addison's disease
C0007328||case-control association study
C1510438||Taqman chemistry
C0752046||rs3757247 SNP
C0271737||Autoimmune Addison's disease
C0080105||subjects
C0080105||subjects
C0007328||Wellcome Trust (WTCCC2)
C0752046||single nucleotide polymorphism
C0599755||validation cohort
C0337812||Norwegian
C0271737||Autoimmune Addison's disease
C0080105||subjects
C0002085||minor T allele
C0080105||subjects
C0271737||Autoimmune Addison's disease
C0041700||United Kingdom
C0599755||WTCCC2 control cohorts
C0086027||Norwegian validation cohort
C0936012||Subgroup analysis
C0449380||association
C0080105||subjects
C0271737||Autoimmune Addison's disease
C0085860||autoimmune polyglandular syndrome type 2
C0599755||UK cohort
C0085860||autoimmune polyglandular syndrome type 2
C0599755||Norwegian cohort
C1422394||BACH2
C1708726||locus
C0012655||susceptibility
C0271737||Autoimmune Addison's disease
C0004368||multiple autoimmune conditions
C1422394||BACH2
C0243095||"universal" autoimmune susceptibility
C1708726||locus
