Clinical	B:C0949168
comparison	I:C0949168
of	O
oral	B:C0001563
administration	I:C0001563
and	O
viscosupplementation	B:C2350507
of	O
hyaluronic	B:C0020196
acid	I:C0020196
(	O
hyaluronic	B:C0020196
acid	I:C0020196
)	O
in	O
early	O
knee	B:C0409959
osteoarthritis	I:C0409959
.	O

Osteoarthritis	B:C0029408
(	O
Osteoarthritis	B:C0029408
)	O
is	O
a	O
progressive	O
,	O
chronic	O
and	O
degenerative	B:C0029408
joint	I:C0029408
disease	I:C0029408
characterized	O
by	O
a	O
loss	O
of	O
articular	B:C0007303
cartilage	I:C0007303
.	O

Treatment	B:C0087111
of	O
Osteoarthritis	B:C0029408
is	O
largely	O
palliative	O
based	O
on	O
nonsteroidal	B:C0003211
anti-inflammatory	I:C0003211
drugs	I:C0003211
,	O
opioids	B:C0242402
and	O
injections	B:C1261311
of	I:C1261311
steroids	I:C1261311
.	O

Regarding	O
conservative	B:C0459914
treatment	I:C0459914
,	O
intra-articular	B:C0021488
injections	I:C0021488
of	O
hyaluronic	B:C0020196
acid	I:C0020196
(	O
hyaluronic	B:C0020196
acid	I:C0020196
)	O
can	O
play	O
a	O
role	O
in	O
early	O
symptomatic	O
knee	B:C0409959
OA	I:C0409959
.	O

Half	O
were	O
treated	B:C0332293
with	I:C0332293
three	O
weekly	O
intra-articular	B:C0021488
injections	I:C0021488
of	O
hyaluronic	B:C0020196
acid	I:C0020196
1.6	O
%	O
(	O
group	B:C0441835
A	I:C0441835
)	O
,	O
while	O
the	O
others	O
were	O
treated	B:C0332293
with	I:C0332293
Syalox	B:C0025118
300	I:C0025118
Plus	I:C0025118
(	I:C0025118
®	I:C0025118
)	I:C0025118
(	O
hyaluronic	B:C0020196
acid	I:C0020196
300	O
mg	O
+	O
Boswellia	O
serrata	O
extract	O
100	O
mg	O
)	O
1	O
tab	B:C0039225
/	O
die	O
for	O
20	O
days	O
and	O
afterward	O
Syalox	B:C0025118
150	I:C0025118
(	I:C0025118
®	I:C0025118
)	I:C0025118
(	O
hyaluronic	B:C0020196
acid	I:C0020196
150	O
mg	O
)	O
1	O
tab	B:C0039225
/	O
die	O
for	O
other	O
20	O
days	O
(	O
group	B:C0441836
B	I:C0441836
)	O
.	O

All	O
patients	O
were	O
evaluated	O
clinically	O
with	O
American	O
Knee	O
Society	O
Score	O
(	O
AKSS	O
)	O
and	O
visual	B:C3536884
analogue	I:C3536884
scale	I:C3536884
(	O
visual	B:C3536884
analogue	I:C3536884
scale	I:C3536884
)	O
for	O
the	O
pain	B:C0030193
before	O
the	O
treatment	B:C0087111
and	O
after	O
3	O
months	O
.	O

AKSS	O
of	O
the	O
patients	O
in	O
both	O
groups	O
was	O
significantly	O
increased	O
by	O
the	O
treatment	B:C0087111
,	O
and	O
visual	B:C3536884
analogue	I:C3536884
scale	I:C3536884
score	O
was	O
significantly	O
reduced	O
.	O

In	O
both	O
groups	O
,	O
two	O
subgroups	B:C1515021
were	O
created	O
with	O
patients	O
older	O
than	O
60	O
years	O
and	O
patients	O
younger	O
than	O
60	O
years	O
.	O

Better	O
results	O
are	O
reported	O
in	O
younger	O
patients	O
of	O
group	B:C0441835
A	I:C0441835
and	O
older	B:C0001792
subjects	O
in	O
group	B:C0441836
B.	I:C0441836
Despite	O
several	O
limitations	O
,	O
the	O
results	O
of	O
the	O
study	B:C2603343
have	O
shown	O
that	O
hyaluronic	B:C0020196
acid	I:C0020196
injection	B:C1272883
and	O
oral	B:C0001563
administration	I:C0001563
may	O
have	O
beneficial	O
therapeutic	B:C1527144
effects	I:C1527144
on	O
patients	O
with	O
early	O
osteoarthritis	B:C0029408
.	O

Different	O
outcomes	O
in	O
younger	O
and	O
older	B:C0001792
subject	O
suggested	O
a	O
combined	O
therapy	B:C0087111
first	O
with	O
local	O
infiltrations	B:C0702249
and	O
then	O
with	O
oral	B:C0226896
composition	B:C0486616
.	O

