Evaluation	B:C0220825
of	O
Periodontal	O
Parameters	B:C0449381
in	O
Patients	O
with	O
Early	B:C1517886
Stage	I:C1517886
Chronic	B:C0023434
Lymphocytic	I:C0023434
Leukemia	I:C0023434

To	O
assess	O
periodontal	O
conditions	O
in	O
patients	O
with	O
early	B:C1517886
stage	I:C1517886
CLL	B:C0023434
and	O
to	O
compare	O
it	O
with	O
the	O
periodontal	O
status	O
of	O
age	O
matched	O
healthy	O
controls	O
and	O
to	O
analyze	O
the	O
relationship	O
between	O
periodontal	O
and	O
hematological	O
parameters	B:C0449381
in	O
CLL	B:C0023434
patients	O
.	O

60	O
subjects	B:C0080105
were	O
examined	O
:	O
30	O
patients	O
with	O
CLL	B:C0023434
Rai	O
0	O
(	O
test	B:C1257890
group	I:C1257890
)	O
and	O
30	O
age	O
-	O
matching	O
healthy	O
individuals	B:C0237401
(	O
control	O
group	O
)	O
.	O

The	O
exclusion	O
criteria	O
were	O
:	O
presence	O
of	O
other	O
systemic	O
disease	B:C0012634
or	O
condition	O
(	O
e.g.	O
diabetes	B:C0011847
)	O
,	O
history	B:C0262926
of	O
treatment	B:C0087111
for	O
periodontitis	B:C0031099
,	O
use	O
of	O
antibiotics	B:C0003232
during	O
the	O
last	O
3	O
months	O
,	O
use	O
of	O
medications	B:C0013227
.	O

Socio	O
-	O
demographic	O
data	O
were	O
obtained	O
by	O
means	O
of	O
a	O
questionnaire	B:C0034394
.	O

Participants	B:C0679646
with	O
at	O
least	O
8	O
teeth	B:C0040426
underwent	O
a	O
full	B:C0430022
mouth	I:C0430022
examination	I:C0430022
assessing	O
API	O
,	O
PBI	O
,	O
PPD	O
,	O
REC	O
and	O
CAL	O
.	O

Medical	O
data	O
for	O
CLL	B:C0023434
patients	O
were	O
collected	O
from	O
the	O
patients	B:C0025102
'	I:C0025102
records	I:C0025102
,	O
while	O
hematological	O
data	O
were	O
obtained	O
from	O
the	O
hemogram	B:C0200631
.	O

Difference	O
between	O
groups	B:C1257890
was	O
statistically	O
significant	O
for	O
age	O
,	O
number	O
of	O
teeth	B:C0040426
and	O
frequency	O
of	O
dental	B:C0750862
checkups	I:C0750862
(	O
p<0.05	O
)	O
.	O

Patients	O
with	O
CLL	B:C0023434
had	O
significantly	O
higher	O
average	O
values	O
of	O
periodontal	B:C0031092
indices	I:C0031092
(	O
API	O
0.81±0.18	O
;	O
PBI	O
2.72±0.68	O
;	O
PPD	O
3.40±0.53	O
;	O
REC	O
1.95±0.87	O
,	O
CAL	O
4.37±0.80	O
)	O
compared	O
to	O
the	O
control	O
group	O
(	O
API	O
0.69±0.15	O
;	O
PBI	O
1.91±0.45	O
;	O
PPD	O
2.51±0.40	O
;	O
REC	O
0.99±0.54	O
;	O
CAL	O
3.00±0.58	O
)	O
.	O

The	O
correlation	O
coefficients	O
between	O
age	O
and	O
periodontal	B:C0031092
indices	I:C0031092
showed	O
statistically	O
significance	O
between	O
age	O
and	O
REC	O
(	O
r=0.357	O
;	O
p<0.01	O
)	O
,	O
and	O
age	O
and	O
CAL	O
(	O
r=0.295	O
;	O
p<0.05	O
)	O
.	O

After	O
the	O
removal	O
of	O
the	O
statistical	O
effect	O
of	O
age	O
,	O
the	O
difference	O
in	O
REC	O
between	O
CLL	B:C0023434
and	O
control	O
group	O
remained	O
statistically	O
significant	O
(	O
F=19.732	O
;	O
p<0.01	O
;	O
eta(	O
2)	O
=0.287	O
)	O
.	O

Statistically	O
significant	O
association	O
between	O
periodontal	O
and	O
hematological	O
parameters	B:C0449381
in	O
CLL	B:C0023434
patients	O
was	O
not	O
found	O
(	O
p>0.05	O
)	O
.	O

The	O
results	O
of	O
this	O
study	B:C2603343
showed	O
that	O
patients	O
with	O
CLL	B:C0023434
had	O
worse	O
periodontal	O
status	O
compared	O
to	O
healthy	B:C1708335
subjects	I:C1708335
.	O

Causal	O
relationship	O
between	O
periodontal	O
and	O
hematological	O
parameters	B:C0449381
was	O
not	O
proved	O
.	O

