C0854135||Chronic Pseudomonas aeruginosa infection
C0008677||chronic bronchitis
C1505368||club cell secretory protein
C0025929||mice
C1505368||club cell secretory protein
C1505368||club cell secretory protein
C0032285||lung inflammation
C0339901||acute respiratory infection
C0273115||lung injury
C1505368||club cell secretory protein
C0024117||COPD
C0700287||reported
C0024117||COPD
C4022805||abnormal inflammatory response
C1505368||club cell secretory protein
C0021376||chronic inflammation
C0273115||lung damage
C0032285||chronic lung inflammation
C0033809||Pseudomonas aeruginosa
C1505368||club cell secretory protein
C0025929||mice
C0204774||soaked
C0033809||P. aeruginosa
C0040578||trachea
C1505368||club cell secretory protein
C0025929||mice
C0033809||P. aeruginosa
C0040578||trachea
C0025929||mice
C0006279||Bronchoalveolar lavage fluids
C0004611||bacterial
C0018270||growth
C0024109||lung
C0031843||physiology
C0033809||P. aeruginosa
C0006279||bronchoalveolar lavage fluids
C0027950||Neutrophils
C0006279||bronchoalveolar lavage fluids
C1505368||club cell secretory protein
C0025929||mice
C0025929||mice
C0019638||histological study
C0021376||chronic inflammation
C0006255||bronchus
C0151536||serious bronchial stenosis
C0012634||alveolar enlargement
C1505368||club cell secretory protein
C0025929||mice
C0024109||lung
C0031843||physiology
C0024112||lung compliance
C1505368||club cell secretory protein
C0025929||mice
C0033809||P. aeruginosa
C0021376||inflammation
C0008677||chronic bronchitis
C1505368||club cell secretory protein
C0025929||mice
C1505368||club cell secretory protein
C0021376||chronic inflammation
C0273115||lung damage
