C0205161||Abnormal
C0051755||amphiregulin
C1171362||expression
C0699791||gastric cancer
C0033325||prognosis
C0699791||Gastric cancer
C0699791||Gastric cancer
C1456573||global health issue
C0011900||diagnosis
C0699791||Gastric cancer
C0805586||challenge
C0051755||Amphiregulin
C0051755||Amphiregulin
C0680022||member
C0242275||epidermal growth factor
C0242275||epidermal growth factor
C1514758||activates
C1155379||growth signaling
C0034802||EGF receptors
C0051755||Amphiregulin
C1171362||expression
C0030660||pathological conditions
C0006826||cancer
C0051755||Amphiregulin
C1171362||expression
C0005516||disease indicator
C0699791||Gastric cancer
C1709846||real-time polymerase chain reaction
C0051755||Amphiregulin
C1171362||expression
C1292533||tissue specimens
C0699791||Gastric cancer
C1140694||bioinformatics
C0936012||analysis
C0220825||evaluate
C0051755||Amphiregulin
C1171362||over-expression
C0699791||Gastric cancer
C0005516||biomarker
C0035696||mRNA
C1171362||protein expression
C0051755||Amphiregulin
C1292533||tissues
C0699791||Gastric cancer
C1292533||tissues
C0040300||normal tissues
C1171362||expression
C0051755||Amphiregulin
C0699791||Gastric cancer
C0030660||clinicopathological
C0038953||poor survival
C1171362||over-expression
C0051755||Amphiregulin
C0699791||Gastric cancer
C0005516||biomarker
C1827061||active surveillance
C1171362||expression
C0699791||Gastric cancer
C0011900||diagnosis
C1302396||monitoring
