C0178719||Intracellular
C0031886||Saffold virus
C0042736||Leader (L) protein
C0042542||Vero
C0018873||HEp-2 cells
C0031886||Saffold virus
C0031886||Saffold virus
C0042720||genome
C1519614||translated
C0033665||polyprotein precursor
C1519614||co-translationally
C0205242||cleaved
C0042736||viral proteins
C0031886||Saffold virus
C0042736||proteins
C0162774||homologs
C1265371||picornaviruses
C0035168||research
C0042736||viral proteins
C3494293||spatio-temporal distribution
C0031886||Saffold virus
C0042736||proteins
C0042542||Vero
C0018873||HEp-2 cells
C0040669||transfected
C0032136||plasmids
C1171362||express
C0042736||viral proteins
C3714514||infected
C0031886||Saffold virus
C0042736||Leader (L) protein
C0042736||viral proteins
C0392752||localized
C0010834||cytoplasm
C1510438||assayed
C0042736||L protein
C0010834||cytoplasm
C0599893||translocated
C0007610||nucleus
C0018873||HEp-2
C0042542||Vero
C0007634||cells
C0040669||transfected
C3714514||infected
C0007634||cells
C0796357||mutational analysis
C0042736||L protein
C0040005||Threonine 58
C0036720||Ser
C0040005||Thr
C1514562||domain
C0042736||L protein
C0042736||protein
C0010834||cytoplasm
C0007610||nucleus
C0018873||HEp-2 cells
C0243095||findings
C0007634||cellular
C0018873||HEp-2 cells
C0024660||mammalian
C0007600||cell lines
C0031886||Saffold virus
C3714514||infection
