Analysis	B:C0936012
of	O
Pathological	O
Activities	O
of	O
CCN2	B:C0110610
/	I:C0110610
CTGF	I:C0110610
in	O
Muscle	B:C0026850
Dystrophy	I:C0026850
.	O

CCN2	B:C0110610
or	O
connective	B:C0110610
tissue	I:C0110610
growth	I:C0110610
factor	I:C0110610
(	O
connective	B:C0110610
tissue	I:C0110610
growth	I:C0110610
factor	I:C0110610
)	O
is	O
a	O
matricellular	B:C0079323
protein	I:C0079323
that	O
regulates	O
several	O
cellular	B:C1325880
processes	I:C1325880
.	O

In	O
skeletal	B:C0242692
muscle	I:C0242692
,	O
connective	B:C0110610
tissue	I:C0110610
growth	I:C0110610
factor	I:C0110610
is	O
a	O
key	O
modulator	O
of	O
fibrogenesis	O
,	O
is	O
increased	O
in	O
pathological	B:C0030660
conditions	I:C0030660
such	O
as	O
muscular	B:C0026850
dystrophies	I:C0026850
,	O
and	O
plays	O
a	O
major	O
role	O
in	O
the	O
pathology	B:C0679250
outcome	I:C0679250
.	O

Overexpression	B:C0017262
of	O
connective	B:C1413791
tissue	I:C1413791
growth	I:C1413791
factor	I:C1413791
in	O
skeletal	B:C0242692
muscle	I:C0242692
of	O
wild	B:C1520150
-	I:C1520150
type	I:C1520150
mice	I:C1520150
results	O
in	O
muscle	B:C0410158
damage	I:C0410158
,	O
fibrosis	B:C0016059
,	O
and	O
reduction	O
of	O
strength	O
.	O

In	O
contrast	O
,	O
a	O
decrease	O
in	O
connective	B:C1413791
tissue	I:C1413791
growth	I:C1413791
factor	I:C1413791
in	O
dystrophic	O
mice	B:C0025929
increases	O
strength	O
and	O
reduces	O
damage	O
and	O
fibrosis	B:C0016059
.	O

Thus	O
,	O
connective	B:C0110610
tissue	I:C0110610
growth	I:C0110610
factor	I:C0110610
is	O
a	O
relevant	O
target	O
to	O
study	O
in	O
skeletal	B:C0242692
muscle	I:C0242692
pathology	O
and	O
its	O
possible	O
modulation	O
by	O
different	O
treatments	B:C0087111
or	O
potential	O
new	O
drugs	B:C1254351
to	O
develop	O
new	O
strategies	O
for	O
the	O
treatment	B:C0087111
of	O
muscular	B:C0026850
dystrophies	I:C0026850
.	O

We	O
summarize	O
the	O
techniques	O
used	O
to	O
detect	B:C0442726
connective	B:C0110610
tissue	I:C0110610
growth	I:C0110610
factor	I:C0110610
in	O
the	O
skeletal	B:C0242692
muscle	I:C0242692
of	O
dystrophic	O
mdx	B:C0206535
mice	I:C0206535
.	O

