Cognitive	B:C0870300
assessment	I:C0870300
of	O
pycnogenol	B:C0072642
therapy	B:C0087111
following	O
traumatic	B:C0876926
brain	I:C0876926
injury	I:C0876926
.	O

We	O
have	O
previously	O
shown	O
that	O
pycnogenol	B:C0072642
(	O
pycnogenol	B:C0072642
)	O
increases	O
antioxidants	B:C0003402
,	O
decreases	O
oxidative	B:C0242606
stress	I:C0242606
,	O
suppresses	O
neuroinflammation	O
and	O
enhances	B:C1622185
synaptic	I:C1622185
plasticity	I:C1622185
following	O
traumatic	B:C0876926
brain	I:C0876926
injury	I:C0876926
(	O
traumatic	B:C0876926
brain	I:C0876926
injury	I:C0876926
)	O
.	O

Here	O
,	O
we	O
investigate	O
the	O
effects	O
of	O
pycnogenol	B:C0072642
on	O
cognitive	B:C0392335
function	I:C0392335
following	O
a	O
controlled	O
cortical	O
impact	O
(	O
CCI	O
)	O
.	O

Adult	O
Sprague	B:C0034715
-	I:C0034715
Dawley	I:C0034715
rats	I:C0034715
received	O
a	O
CCI	B:C3263723
injury	I:C3263723
followed	O
by	O
an	O
intraperitoneal	B:C0021493
injection	I:C0021493
of	O
pycnogenol	B:C0072642
(	O
50	O
or	O
100	O
mg	O
/	O
kg	O
)	O
.	O

Seven	O
days	O
post	B:C0150062
trauma	I:C0150062
,	O
subjects	B:C0080105
were	O
evaluated	B:C0220825
in	O
a	O
Morris	B:C0022885
water	I:C0022885
maze	I:C0022885
(	O
Morris	B:C0022885
water	I:C0022885
maze	I:C0022885
)	O
and	O
evaluated	B:C0220825
for	O
changes	O
in	O
lesion	B:C0243095
volume	I:C0243095
.	O

Some	O
animals	B:C0003062
were	O
evaluated	B:C0220825
at	O
48h	O
for	O
hippocampal	B:C3496509
Fluoro	B:C3661365
-	I:C3661365
jade	I:C3661365
B	I:C3661365
(	O
Fluoro	B:C3661365
-	I:C3661365
jade	I:C3661365
B	I:C3661365
)	O
staining	B:C0487602
.	O

The	O
highest	O
dose	O
of	O
pycnogenol	B:C0072642
therapy	B:C0087111
significantly	O
reduced	O
lesion	B:C0243095
volume	I:C0243095
,	O
with	O
no	O
improvement	O
in	O
Morris	B:C0022885
water	I:C0022885
maze	I:C0022885
compared	O
to	O
vehicle	O
controls	O
.	O

pycnogenol	B:C0072642
failed	O
to	O
reduce	O
the	O
total	O
number	O
of	O
Fluoro	B:C3661365
-	I:C3661365
jade	I:C3661365
B	I:C3661365
positive	O
neurons	B:C0027882
in	O
the	O
hippocampus	B:C0019564
.	O

These	O
results	B:C0456984
suggest	O
that	O
the	O
reduction	B:C0441610
of	O
oxidative	B:C0242606
stress	I:C0242606
and	O
neuroinflammation	O
are	O
not	O
the	O
key	O
components	O
of	O
the	O
secondary	B:C3263722
injury	I:C3263722
that	O
contribute	O
to	O
cognitive	O
deficits	O
following	O
traumatic	B:C0876926
brain	I:C0876926
injury	I:C0876926
.	O

