Physiological	B:C0542478
and	O
molecular	B:C4054479
responses	I:C4054479
of	O
juvenile	O
shortnose	B:C0327753
sturgeon	I:C0327753
(	O
Acipenser	B:C0327753
brevirostrum	I:C0327753
)	O
to	O
thermal	B:C0449430
stress	I:C0449430
.	O

The	O
shortnose	B:C0327753
sturgeon	I:C0327753
(	O
Acipenser	B:C0327753
brevirostrum	I:C0327753
LeSueur	B:C1187444
,	O
1818	O
)	O
is	O
a	O
vulnerable	O
species	B:C1705920
that	O
is	O
found	O
along	O
the	O
eastern	B:C0028405
coast	I:C0028405
of	I:C0028405
North	I:C0028405
America	I:C0028405
.	O

Little	O
is	O
known	O
about	O
temperature	B:C0549167
tolerance	I:C0549167
in	O
this	O
species	B:C1705920
and	O
with	O
a	O
rapidly	O
changing	O
global	O
climate	O
,	O
it	O
becomes	O
increasingly	O
important	O
to	O
define	O
the	O
thermal	B:C3544386
tolerance	I:C3544386
of	O
this	O
species	B:C1705920
to	O
better	O
predict	O
population	B:C0032666
distribution	I:C0032666
.	O

Using	O
a	O
modified	B:C0022885
critical	I:C0022885
thermal	I:C0022885
maximum	I:C0022885
test	I:C0022885
(	O
critical	B:C0022885
thermal	I:C0022885
maximum	I:C0022885
test	I:C0022885
)	O
,	O
the	O
objectives	O
of	O
this	O
study	O
were	O
to	O
determine	O
the	O
impact	O
of	O
heating	O
rate	O
(	O
0.1	O
,	O
0.2	O
and	O
0.25	O
°Cmin	O
(	O
-	O
1	O
)	O
)	O
on	O
the	O
thermal	B:C3544386
tolerance	I:C3544386
,	O
associated	O
hematological	B:C4054793
responses	I:C4054793
,	O
and	O
oxygen	B:C0030055
consumption	I:C0030055
in	O
juvenile	O
sturgeon	B:C0327753
.	O

In	O
addition	O
,	O
transcripts	B:C1519595
associated	O
with	O
physiological	B:C0449430
stress	I:C0449430
and	O
heat	B:C0282498
shock	I:C0282498
(	O
i.e.	O
,	O
heat	B:C0018850
shock	I:C0018850
proteins	I:C0018850
)	O
were	O
also	O
measured	O
.	O

Heating	O
rate	O
did	O
not	O
alter	O
the	O
CTMax	B:C0456984
values	I:C0456984
of	O
shortnose	B:C0327753
sturgeon	I:C0327753
.	O

Neither	O
heating	O
rate	O
nor	O
thermal	B:C0449430
stress	I:C0449430
affected	O
plasma	B:C1272109
sodium	I:C1272109
and	O
chloride	B:C1276037
levels	I:C1276037
,	O
nor	O
the	O
expression	B:C1171362
of	O
transcripts	B:C1519595
that	O
included	O
catalase	B:C0007367
,	O
glucocorticoid	B:C0034809
receptor	I:C0034809
,	O
heat	B:C0243043
shock	I:C0243043
protein70	I:C0243043
(	O
heat	B:C0243043
shock	I:C0243043
protein70	I:C0243043
)	O
,	O
heat	B:C3273508
shock	I:C3273508
protein	I:C3273508
90α	I:C3273508
(	O
heat	B:C3273508
shock	I:C3273508
protein	I:C3273508
90α	I:C3273508
)	O
and	O
cytochrome	B:C4277568
P450	I:C4277568
1a	I:C4277568
(	O
cytochrome	B:C4277568
P450	I:C4277568
1a	I:C4277568
)	O
.	O

However	O
,	O
regardless	O
of	O
heating	O
rate	O
,	O
thermal	B:C0449430
stress	I:C0449430
increased	B:C0858159
both	I:C0858159
plasma	I:C0858159
potassium	I:C0858159
and	O
lactate	B:C2751861
concentrations	I:C2751861
.	O

Glucose	B:C0017747
levels	I:C0017747
were	I:C0017747
increased	I:C0017747
at	O
heating	O
rates	O
of	O
0.2	O
and	O
0.25	O
°Cmin(	O
-	O
1	O
)	O
,	O
but	O
not	O
at	O
0.1	O
°Cmin	O
(	O
-	O
1	O
)	O
.	O

Overall	O
,	O
oxygen	B:C1167681
consumption	I:C1167681
rates	I:C1167681
increased	I:C1167681
with	O
thermal	B:C0449430
stress	I:C0449430
,	O
but	O
the	O
response	B:C1621333
patterns	B:C0449774
were	O
not	O
affected	O
by	O
heating	O
rate	O
.	O

These	O
data	O
support	O
the	O
hypothesis	O
that	O
shortnose	B:C0327753
sturgeon	I:C0327753
can	O
tolerate	O
acute	B:C0449430
heat	I:C0449430
stress	I:C0449430
,	O
as	O
many	O
physiological	O
and	O
molecular	O
parameters	B:C0449381
measured	O
here	O
were	O
non-responsive	O
to	O
the	O
thermal	B:C0449430
stress	I:C0449430
.	O

