C0474414||Challenging Achievement
C0018794||Bidirectional Block
C0547070||Linear Ablation
C1523018||Rhythm Outcome
C2585653||Persistent Atrial Fibrillation
C0018794||bidirectional block
C0018794||bidirectional block
C0547070||linear ablations
C0004238||atrial fibrillation
C0004238||atrial fibrillation
C0162561||radiofrequency catheter ablation
C0018794||bidirectional block
C0547070||linear ablation
C0162561||radiofrequency catheter ablation
C2585653||persistent AF
C0599755||Yonsei AF ablation cohort
C2585653||persistent AF
C0162561||catheter ablation
C0040808||ablation protocol
C0025663||Dallas lesion set
C3544330||circumferential pulmonary vein isolation
C4087388||cavotricuspid isthmus ablation
C4087388||cavotricuspid isthmus ablation
C0162563||roof line
C0162563||roof line
C0162563||posterior-inferior line
C0162563||posterior-inferior line
C0162563||anterior line
C0162563||anterior line
C0018794||bidirectional block
C0162563||ablation lines
C3544330||circumferential pulmonary vein isolation
C4087388||cavotricuspid isthmus ablation
C0162563||roof line
C0162563||posterior-inferior line
C0162563||anterior line
C1522577||follow-up
C0504042||Left atrial posterior wall
C0504042||Left atrial posterior wall
C0204727||isolation
C0018794||BDBs
C0162563||roof line
C0162563||posterior-inferior line
C0004238||clinical AF
C0546959||atrial tachycardia
C0392366||log-rank
C0018794||BDBs
C0162563||roof line
C0162563||anterior line
C0162563||roof line
C0162563||anterior line
C0520262||repeat procedures
C0022885||de novo procedure
C0018794||bidirectional block
C4087388||cavotricuspid isthmus ablation
C0162563||roof line
C0162563||posterior-inferior line
C0162563||anterior line
C0162563||posterior-inferior line
C0014876||esophageal contact area
C0504042||Left atrial posterior wall
C0204727||isolation
C1333602||better clinical outcome
C0162561||catheter ablation
C0547070||linear ablation strategy
C2585653||persistent AF
