Hormonal	B:C0441683
and	O
testicular	B:C0039597
changes	O
in	O
rats	B:C0034721
submitted	O
to	O
congenital	B:C0010308
hypothyroidism	I:C0010308
in	O
early	O
life	O
.	O

The	O
goal	O
of	O
this	O
study	B:C0947630
was	O
to	O
evaluate	B:C0220825
the	O
influence	O
of	O
hypothyroidism	B:C0020676
induced	B:C0007994
by	O
MMI	B:C0025644
,	O
during	O
gestation	B:C0032961
(	O
gestation	B:C0032961
)	O
or	O
gestation	B:C0032961
plus	O
lactation	B:C0022925
(	O
GL	O
)	O
on	O
testis	B:C0039597
and	O
its	O
relation	O
with	O
leptin	B:C0299583
in	O
rats	B:C0034721
.	O

For	O
statistical	O
analysis	O
One	O
-	O
way	O
ANOVA	O
followed	O
by	O
the	O
Holm	B:C0237913
-	I:C0237913
Sìdak	I:C0237913
post	I:C0237913
hoc	I:C0237913
test	I:C0237913
was	O
used	O
.	O

Hypothyroidism	B:C0020676
resulted	O
in	O
a	O
significant	O
reduction	O
in	O
LH	B:C0023607
,	O
FSH	B:C0733758
and	O
testosterone	B:C0039601
and	O
an	O
increase	B:C2747815
in	I:C2747815
leptin	I:C2747815
serum	I:C2747815
levels	I:C2747815
(	O
p	O
<	O
0.04	O
)	O
.	O

There	O
was	O
a	O
significant	O
decrease	O
in	O
StAR	B:C1613886
,	O
AR	B:C0034786
,	O
FSHR	B:C0034806
,	O
LHR	B:C0034823
,	O
pSTAT3	B:C0253050
and	O
SOCS3	B:C1527557
(	O
p	O
<	O
0.04	O
)	O
protein	B:C1171362
expression	I:C1171362
and	O
in	O
the	O
fertility	B:C0015895
parameters	O
(	O
p	O
<	O
0.04	O
)	O
.	O

We	O
can	O
conclude	O
that	O
hypothyroidism	B:C0020676
is	O
associated	O
with	O
reduction	O
of	O
steroidogenesis	B:C0597513
and	O
spermatogenesis	B:C0037864
leading	O
to	O
a	O
low	B:C0243095
fertility	I:C0243095
potential	I:C0243095
in	O
these	O
animals	B:C0003062
.	O

This	O
outcome	O
could	O
be	O
a	O
consequence	O
of	O
low	O
pituitary	B:C0032005
stimulus	O
and	O
testicular	O
response	O
and	O
probably	O
are	O
not	O
related	O
with	O
leptin	B:C0299583
hormone	I:C0299583
since	O
its	O
signaling	B:C0037080
pathway	I:C0037080
is	O
down	B:C0013081
-	I:C0013081
regulated	I:C0013081
in	O
the	O
testis	B:C0039597
.	O

