C0796344||Genetic Identification
C1720835||PilT Motor
C1005676||Geobacter sulfurreducens
C1326523||Pilus Retraction
C0521119||Extracellular
C0013846||Electron Transfer
C0025552||metal
C0004611||bacterium
C1005676||Geobacter sulfurreducens
C0017262||expression
C0031921||pili
C0060240||iron oxides
C0081786||electroactive biofilms
C1326523||pilus retraction
C0007613||functions
C1720835||PilT proteins
C0017428||genome
C1005676||G. sulfurreducens
C1720835||PilT3
C1326523||pilus retraction
C0007634||planktonic cells
C1720835||PilT
C0033809||P. aeruginosa
C0678941||mutant
C0081786||biofilms
C1883559||wild-type
C1720835||PilT3
C1720835||PilT4
C1752724||twitching motility
C1720835||PilT
C0678941||mutant
C1720835||PilT4
C0008902||paralog
C1005676||G. sulfurreducens
C0007613||hyperpiliation
C0678941||non-retractile mutants
C0004614||adhesion
C1720835||PilT4
C0060240||iron oxides
C1720835||PilT4
C1706373||ATPase
C1005676||G. sulfurreducens
C0031921||pili
C1326523||pilus retraction
C0521119||extracellular
C0013846||electron transfer
C1012737||Geobacter spp
C0025552||metal
C0557745||natural environment
