Episomal	B:C0014587
Nonviral	B:C0243095
Gene	B:C1517498
Therapy	I:C1517498
Vectors	I:C1517498
Slow	B:C1854494
Progression	I:C1854494
of	O
Atherosclerosis	B:C0004153
in	O
a	O
Model	O
of	O
Familial	B:C0020445
Hypercholesterolemia	I:C0020445
.	O

Familial	B:C0020445
hypercholesterolemia	I:C0020445
(	O
Familial	B:C0020445
hypercholesterolemia	I:C0020445
)	O
is	O
a	O
life	B:C2826244
-	I:C2826244
threatening	I:C2826244
genetic	B:C0019247
disorder	I:C0019247
characterized	O
by	O
elevated	O
levels	B:C1278149
of	I:C1278149
plasma	I:C1278149
low	I:C1278149
-	I:C1278149
density	I:C1278149
lipoprotein	I:C1278149
cholesterol	I:C1278149
(	O
LDL	B:C0023824
-	I:C0023824
cholesterol	I:C0023824
)	O
.	O

Current	O
attempts	O
at	O
gene	B:C0017296
therapy	I:C0017296
for	O
Familial	B:C0020445
hypercholesterolemia	I:C0020445
have	O
been	O
limited	O
by	O
the	O
use	O
of	O
strong	O
heterologous	O
promoters	B:C0035902
which	O
lack	O
genomic	B:C3272453
DNA	I:C3272453
elements	O
essential	O
for	O
regulated	O
expression	B:C0017262
.	O

Here	O
,	O
we	O
have	O
combined	O
a	O
mini	B:C0017397
-	I:C0017397
gene	I:C0017397
vector	I:C0017397
expressing	B:C0017262
the	O
human	B:C0086418
LDLR	B:C1366529
cDNA	B:C0006556
from	O
a	O
10	O
kb	O
native	O
human	B:C0086418
LDLR	B:C1366529
locus	B:C0678933
genomic	B:C3272453
DNA	I:C3272453
promoter	B:C0035902
element	O
,	O
with	O
an	O
efficient	O
miRNA	B:C1101610
targeting	O
3	B:C1415615
-	I:C1415615
hydroxy	I:C1415615
-3-methylgutaryl	I:C1415615
-	I:C1415615
coenzyme	I:C1415615
A	I:C1415615
reductase	I:C1415615
(	O
3	B:C1415615
-	I:C1415615
hydroxy	I:C1415615
-	I:C1415615
3-	I:C1415615
methylgutaryl	I:C1415615
-	I:C1415615
coenzyme	I:C1415615
A	I:C1415615
reductase	I:C1415615
)	O
,	O
to	O
further	O
enhance	O
LDLR	B:C1366529
expression	B:C0017262
.	O

We	O
show	O
that	O
the	O
combined	O
vector	B:C0017397
suppresses	B:C0038855
endogenous	O
3	B:C1415615
-	I:C1415615
hydroxy-3-methylgutaryl	I:C1415615
-	I:C1415615
coenzyme	I:C1415615

A	I:C1415615
reductase	I:C1415615
transcripts	B:C1519595
in	B:C1515655
vivo	I:C1515655
,	O
leading	O
to	O
an	O
increase	O
in	O
LDLR	B:C1366529
transgene	B:C0282641
expression	B:C0017262
.	O

In	O
a	O
diet	O
-	O
induced	O
Ldlr	B:C1366529
(	I:C1366529
-/-)	I:C1366529
mouse	B:C0206745
model	I:C0206745
of	O
Familial	B:C0020445
hypercholesterolemia	I:C0020445
,	O
we	O
show	O
that	O
administration	B:C1533734
of	O
the	O
combined	O
vector	B:C0017397
reduces	O
atherogenic	B:C1278073
plasma	I:C1278073
lipids	I:C1278073
by	O
~	O
32	O
%	O
.	O

Finally	O
,	O
we	O
demonstrate	O
that	O
our	O
episomal	B:C0017397
nonviral	I:C0017397
vectors	I:C0017397
are	O
able	O
to	O
reduce	O
atherosclerosis	B:C0004153
by	O
~	O
40	O
%	O
after	O
12	O
weeks	O
in	B:C1515655
vivo	I:C1515655
.	O

Taken	O
together	O
,	O
the	O
vector	B:C0017397
system	O
we	O
describe	O
exploits	O
the	O
normal	O
cellular	B:C0596286
regulation	I:C0596286
of	O
the	O
LDLR	B:C1366529
to	O
provide	O
prolonged	O
expression	B:C0017262
of	O
LDLR	B:C1366529
through	O
targeted	O
knockdown	B:C2350567
of	O
3	B:C1415615
-	I:C1415615
hydroxy	I:C1415615
-	I:C1415615
3-	I:C1415615
methylgutaryl	I:C1415615
-	I:C1415615
coenzyme	I:C1415615
A	I:C1415615
reductase	I:C1415615
.	O

This	O
novel	O
gene	B:C0017296
therapy	I:C0017296
system	O
could	O
act	O
alone	O
,	O
or	O
in	O
synergy	O
with	O
current	O
therapies	O
that	O
modulate	B:C0443264
intracellular	B:C0178719
cholesterol	B:C0008377
,	O
such	O
as	O
statins	B:C0360714
,	O
greatly	O
enhancing	O
its	O
therapeutic	B:C0087111
application	I:C0087111
for	O
Familial	B:C0020445
hypercholesterolemia	I:C0020445
.	O

