Mitotic	B:C3893712
entry	I:C3893712
:	O

The	O
interplay	O
between	O
Cdk1	B:C2353787
,	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
and	O
Bora	O
.	O

The	O
interplay	O
between	O
Cdk1	O
,	O
Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
and	O
Bora	O
.	O

The	O
interplay	O
between	O
Cdk1	O
,	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
and	O
Bora	B:C2353085
.	O

Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	B:C0026255
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	B:C0033640
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	B:C0026255
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	B:C0012860
damage	I:C0012860
-	O
induced	O
cell	O
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
(	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
)	O
is	O
an	O
important	O
mitotic	O
kinase	O
that	O
is	O
crucial	O
for	O
entry	O
into	O
mitosis	O
after	O
recovery	O
from	O
DNA	O
damage	I:C0012860
-	O
induced	O
cell	B:C1155873
cycle	I:C1155873
arrest	I:C1155873
.	O

Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	O
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	B:C0014429
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	O
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	B:C0033684
Bora	O
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	B:C2353085
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	O
(	O
SPAT	B:C2975364
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	O
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	B:C1158886
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	O
A	I:C0971285
kinase	I:C0971285
.	O

Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
is	O
promoted	O
by	O
the	O
conserved	O
protein	O
Bora	O
(	O
SPAT	O
-	I:C2975364
1	I:C2975364
in	I:C2975364
C.	I:C2975364
elegans	I:C2975364
)	O
,	O
which	O
stimulates	O
the	O
phosphorylation	O
of	O
a	O
conserved	O
residue	O
in	O
the	O
activation	O
loop	O
by	O
the	O
Aurora	B:C0971285
A	I:C0971285
kinase	I:C0971285
.	O

In	O
a	O
recent	O
article	B:C1706852
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	B:C0684224
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	B:C0033640
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	B:C2353787
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	B:C0014429
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	B:C2975364
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	B:C2353085
phosphorylation	O
.	O

In	O
a	O
recent	O
article	O
published	O
in	O
Cell	O
Reports	I:C0684224
,	O
we	O
show	O
that	O
the	O
master	O
mitotic	O
kinase	I:C0033640
Cdk1	O
contributes	O
to	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
through	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
phosphorylation	B:C1158886
.	O

We	O
identified	O
3	O
conserved	O
Sp	B:C0002520
/	I:C0002520
Tp	I:C0002520
residues	I:C0002520
that	O
are	O
located	O
in	O
the	O
N	O
-	O
terminal	O
,	O
most	O
conserved	O
part	I:C0449719
,	O
of	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
.	O

We	O
identified	O
3	O
conserved	O
Sp	O
/	I:C0002520
Tp	I:C0002520
residues	I:C0002520
that	O
are	O
located	O
in	O
the	O
N	O
-	O
terminal	O
,	O
most	O
conserved	B:C0449719
part	I:C0449719
,	O
of	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	O
.	O

We	O
identified	O
3	O
conserved	O
Sp	O
/	I:C0002520
Tp	I:C0002520
residues	I:C0002520
that	O
are	O
located	O
in	O
the	O
N	O
-	O
terminal	O
,	O
most	O
conserved	O
part	I:C0449719
,	O
of	O
SPAT	B:C2975364
-	I:C2975364
1	I:C2975364
/	O
Bora	O
.	O

We	O
identified	O
3	O
conserved	O
Sp	O
/	I:C0002520
Tp	I:C0002520
residues	I:C0002520
that	O
are	O
located	O
in	O
the	O
N	O
-	O
terminal	O
,	O
most	O
conserved	O
part	I:C0449719
,	O
of	O
SPAT	O
-	I:C2975364
1	I:C2975364
/	O
Bora	B:C2353085
.	O

Phosphorylation	B:C1158886
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	B:C2353787
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	B:C3893712
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	B:C0162610
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	B:C0013935
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	B:C1751194
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	O
cells	I:C1512977
.	O

Phosphorylation	O
of	O
these	O
sites	O
by	O
Cdk1	O
is	O
essential	O
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
function	O
in	O
mitotic	O
entry	I:C3893712
in	O
C.	O
elegans	I:C0162610
embryos	O
and	O
during	O
DNA	O
damage	I:C1751194
checkpoint	I:C1751194
recovery	O
in	O
mammalian	B:C1512977
cells	I:C1512977
.	O

Here	O
,	O
using	O
an	O
untargeted	O
Förster	O
Resonance	O
Energy	O
Transfer	O
(	O
FRET	O
)	O
biosensor	O
to	O
monitor	O
Polo	B:C1579259
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
,	O
we	O
provide	O
additional	O
experimental	O
evidence	O
supporting	O
the	O
importance	O
of	O
these	O
phosphorylation	O
sites	I:C1519063
for	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	O
and	O
subsequent	O
mitotic	O
entry	I:C3893712
after	O
DNA	O
damage	I:C0012860
.	O

Here	O
,	O
using	O
an	O
untargeted	O
Förster	O
Resonance	O
Energy	O
Transfer	O
(	O
FRET	O
)	O
biosensor	O
to	O
monitor	O
Polo	O
-	I:C1579259
like	I:C1579259
kinase	I:C1579259
1	I:C1579259
activation	B:C0014429
,	O
we	O
provide	O
additional	O
experimental	O
evidence	O
supporting	O
the	O
importance	O
of	O
these	O
phosphorylation	O
sites	I:C1519063
for	O
Polo	O
-	I:C1579259
like	I:C1579259
