C1257890||Population
C1704319||Entomopathogenic Nematodes
C0562691||Herbivore
C0032098||Plant
C0443769||Volatiles
C0443769||Herbivore Induced Plant Volatiles
C0022877||Laboratory
C1704319||entomopathogenic nematodes
C1704319||entomopathogenic nematodes
C0562691||herbivore
C0032098||plant
C0443769||volatiles
C0083013||attractants
C3253186||(E)-β-caryophyllene
C1258659||pregeijerene
C1027331||highbush blueberry
C1027331||Vaccinium corymbosum
C1704319||entomopathogenic nematodes
C0562691||herbivore
C3630954||oriental beetle
C3630954||Anomala orientalis
C3253186||(E)-β-caryophyllene
C1258659||pregeijerene
C1764827||isolate
C1704319||entomopathogenic nematodes
C1705920||species
C1007119||Steinernema glaseri
C3882246||olfactometer
C0022877||laboratory
C0243095||baseline values
C0220806||chemicals
C1027331||V. corymbosum
C0562676||insect larvae
C1706082||compound
C0032098||plants
C1704319||entomopathogenic nematodes
C3714514||infection
C3253186||(E)-β-caryophyllene
C1258659||pregeijerene
C1007119||S. glaseri
C1764827||isolate
C1007119||S. glaseri
C0998468||G. mellonella larvae
C0023047||larvae
C0998468||G. mellonella larvae
