C0029433||Osteogenesis
C0036536||Secretion
C0086418||Human
C1440080||Alveolar Bone
C1257975||Mesenchymal Stem Cells
C0086418||Human
C1440080||alveolar bone
C1257975||mesenchymal stem cells
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0947815||bone therapies
C1159974||differentiate
C0029418||osteoblasts
C0036536||secretion
C0079189||cytokines
C0018284||growth factors
C1257975||mesenchymal stem cells
C1257975||mesenchymal stem cells
C0222677||osteogenic
C0007634||cell
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0162518||conditioned secretion media
C0162518||B-CSM
C1159974||osteogenic differentiation
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0936012||analyzed
C0162518||B-CSM
C1138433||proteomics array
C1159974||osteogenic differentiation
C0162518||B-CSM
C0010454||culture medium
C0007620||viability
C0596290||proliferation
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0162518||B-CSM
C1257975||cells
C1171362||expression
C1257975||stem cells
C0005516||markers
C1457876||CD146
C2003357||STRO-1
C1257975||cells
C0162518||B-CSM
C0162518||B-CSM
C1159974||osteogenic differentiation
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0243095||mineralized nodules
C0162518||B-CSM
C1171362||expression
C0085175||Vinculin
C0029419||osteocalcin
C0029419||osteocalcin
C1159974||osteogenic differentiation
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0162518||B-CSM
C1257975||Human alveolar bone -derived mesenchymal stem cells
C0596290||proliferation
C1159974||osteogenic differentiation
C1257975||Human alveolar bone -derived mesenchymal stem cells
