Embryonic	B:C0013935
Mutant	B:C0678941
Huntingtin	B:C1415504
Aggregate	O
Formation	O
in	O
Mouse	B:C2986594
Models	I:C2986594
of	O
Huntington	B:C0020179
's	I:C0020179
Disease	I:C0020179
.	O

The	O
role	O
of	O
aggregate	O
formation	O
in	O
the	O
pathophysiology	O
of	O
Huntington	B:C0020179
's	I:C0020179
disease	I:C0020179
(	O
Huntington	B:C0020179
's	I:C0020179
disease	I:C0020179
)	O
remains	O
uncertain	B:C0087130
.	O

However	O
,	O
the	O
temporal	O
appearance	O
of	O
aggregates	O
tends	O
to	O
correlate	O
with	O
the	O
onset	O
of	O
symptoms	B:C1457887
and	O
the	O
numbers	O
of	O
neuropil	B:C0228081
aggregates	O
correlate	O
with	O
the	O
progression	B:C0242656
of	O
clinical	O
disease	B:C0012634
.	O

Using	O
highly	O
sensitive	O
immunohistochemical	O
methods	O
we	O
have	O
detected	B:C0442726
the	O
appearance	O
of	O
diffuse	B:C0205219
aggregates	O
during	O
embryonic	B:C0013936
development	I:C0013936
in	O
the	O
R6/2	B:C2986594
and	I:C2986594
YAC128	I:C2986594
mouse	I:C2986594
models	I:C2986594
of	O
Huntington	B:C0020179
's	I:C0020179
disease	I:C0020179
.	O

These	O
are	O
initially	O
seen	O
in	O
developing	O
axonal	B:C0004461
tracts	B:C1185740
and	O
appear	O
to	O
spread	O
throughout	O
the	O
cerebrum	B:C0242202
in	O
the	O
early	O
neonate	O
.	O

