C0949486||metastasis suppressor
C1528437||CD82/KAI1
C0016055||fibronectin
C0007577||adhesion
C1523298||epithelial-to-mesenchymal transition
C0033572||prostate
C0334227||cancer cells
C1512812||integrin signaling
C0021699||transmembrane protein
C1528437||CD82/KAI1
C0334227||cancer cell
C1528437||CD82
C1171362||expression
C4282132||malignancy
C0278252||poor prognosis
C0086418||human
C0006826||cancers
C0376358||prostate cancer
C4255448||metastasis
C1528437||CD82
C0016055||fibronectin
C0015350||matrix
C0086418||human
C0033572||prostate
C0334227||cancer cells
C1528437||CD82
C1171362||expression
C1528437||CD82
C1171362||expression
C0033572||prostate
C0334227||cancer cells
C0016055||fibronectin
C0007608||cell motility
C1528437||CD82
C0016055||fibronectin
C1523298||epithelial-to-mesenchymal transition
C1523298||epithelial-to-mesenchymal transition
C1528437||CD82
C0872079||interactions
C0016055||fibronectin
C0033618||binding
C0246766||α3β1
C1138422||α5β1 integrins
C1155451||integrin-mediated intracellular signaling
C1528437||CD82
C1148560||FAK-Src
C1148560||ILK pathways
C0522506||downstream
C0016055||fibronectin
C0021701||receptor integrins
C0079603||Immunofluorescence
C0487602||staining
C0086418||human
C0376358||prostate cancer
C1292533||tissue specimens
C0205160||negative
C1528437||CD82
C1523298||epithelial-to-mesenchymal transition
C0017262||gene expression
C0033572||prostate
C4282132||malignancy
C0812444||CD82
C1523298||epithelial-to-mesenchymal transition
C0033572||prostate
C0334227||cancer cells
C0016055||fibronectin
C0015350||matrix
C0205093||lateral
C0246766||α3β1
C1138422||α5β1 integrins
C1622501||cell migration
