C0887950||genomics
C0014406||environmental
C1764827||isolate
C0079134||Clostridium difficile
C0887835||ribotype 078
C0079134||Clostridium difficile
C0442537||reservoirs
C0014406||natural environment
C0887835||ribotypes
C0014406||environmental
C0014406||environments
C0017428||mobile genome
C0015219||evolution
C0079134||C. difficile
C1160454||epigenetic regulation
C2603343||study
C2348746||genome sequences
C1257903||mobile elements
C0376452||methylation
C2348746||sequence
C1515001||Chromosomal rearrangements
C0017261||ribosomal operon duplications
C0017428||genomes
C0017287||rearrangements
C0449682||insertion sites
C1257903||mobile genetic elements
C1257903||mobile genetic elements
C0600205||Tn6164
C0600205||Tn6293
C0150312||present
C0017428||M120
C0017428||CD105HS27 genomes
C0017337||gene content
C0600205||transposons
C0887912||horizontal gene transfer
C0004793||CDSs
C0025831||methylases
C1136253||conjugative prophage
C0600205||Tn6164
C1257903||MGE
C0887912||transfer
C2265065||restriction modification
C2265065||restriction modification
C3658355||CRISPR/Cas systems
C0014406||environmental
C1764827||isolate
C0017428||CD105HS27
C0376452||(m4)C methylation
C1764827||isolate
C0017428||M120
C0243095||findings
C1257903||MGE
C0887912||transfer
C0017337||horizontally transferred genes
C0017428||genome
C0376452||methylation
C0449774||patterns
C3658355||CRISPR/Cas system
C0887912||horizontal gene transfer
C0017428||genome
C0079134||C. difficile
