C0013081||Down-regulation
C0574031||cladofulvin
C0220781||biosynthesis
C0018270||biotrophic growth
C0997666||Cladosporium fulvum
C1140676||tomato
C0870883||secondary metabolites
C0870883||secondary metabolites
C0017428||genome
C0032098||biotrophic plant
C0997666||Cladosporium fulvum
C0870883||SM
C0220781||biosynthetic
C0017258||gene clusters
C0444622||toxin production
C0017258||gene clusters
C0017262||expressed
C4289767||colonization
C1140676||tomato
C0870883||SM
C0997666||C. fulvum
C0018270||growth
C0574031||anthraquinone cladofulvin
C0031916||pigment
C0442737||not detected
C0439663||infected
C0242724||leaves
C0574031||cladofulvin
C0220781||biosynthetic
C0017337||genes
C0017262||expressed
C2613267||conidiation
C3714514||infection cycle
C1140676||tomato
C4289767||colonization
C1327622||tight regulation
C0870883||SM
C0017258||gene clusters
C0997666||C. fulvum
C0018270||growth
C0012634||disease
C1457887||symptoms
C0596988||mutant
C0997666||C. fulvum
C0574031||cladofulvin
C0018270||biotrophic growth
C0243095||Non-producers
C1140676||tomato
C1883559||wild-type
C0574031||cladofulvin
C1136170||virulence factor
C0574031||cladofulvin
C0243095||over-producers
C0027540||necrosis
C1140676||tomato
C0242724||leaves
C2613267||conidiation
C0031916||pigments
C0449430||abiotic stresses
C0574031||cladofulvin
C0521049||conidia
C0449430||low-temperature stress
C0574031||cladofulvin
C0997666||C. fulvum
C3714634||biotrophic lifestyle
C1140676||tomato
