C0234251||Inflammatory pain
C0017070||dorsal root ganglion
C0027882||neurons
C0019558||hip joints
C0019559||Hip pain
C0228575||dorsal horn of the spinal cord
C0017070||dorsal root ganglion
C0017070||dorsal root ganglion
C0027882||neurons
C0027754||neurotrophic factors
C0019558||hip joint
C0019559||hip joint pain
C0087111||treatment
C0021368||Inflammation
C1285113||left hip joint
C0086893||rats
C0016712||Freund's adjuvant
C0060552||Fluoro-Gold
C0060552||Fluoro-Gold
C0019558||hip joint
C0459957||T12
C4281578||L6
C0017070||DRGs
C0487602||double-stained
C0006669||calcitonin gene-related peptide
C0006669||calcitonin gene-related peptide
C0752549||isolection-IB4
C0060552||Fluoro-Gold
C0027882||neurons
C0017070||left DRG
C0223388||T13
C0223552||L5
C0223507||L2
C0223537||L4
C0006669||calcitonin gene-related peptide
C0027882||neurons
C0752549||IB4
C1167622||binding
C0027882||neurons
C0060552||Fluoro-Gold
C0027882||neurons
C0223522||L3
C0223537||L4
C0006669||calcitonin gene-related peptide
C0027882||neurons
C0752549||IB4
C1167622||binding
C0027882||neurons
C0006669||calcitonin gene-related peptide
C0027882||neurons
C0027882||neurons
C0019558||hip joint
C1171362||express
C0006669||calcitonin gene-related peptide
C0019558||hip joint
C0021368||inflammation
C0006669||calcitonin gene-related peptide
C0027882||neurons
C0752549||IB4
C1167622||binding
C0027882||neurons
C0006669||calcitonin gene-related peptide
C1171362||expressing
C0027752||nerve growth factor
C0027882||neurons
C0019559||hip joint pain
