C1707887||Efficacy
C1705187||safety
C1145759||atazanavir
C0206035||randomized controlled trial
C0019693||HIV-infected
C1099776||tenofovir DF
C1145759||atazanavir
C1145759||atazanavir
C0019693||HIV-infected
C1145759||atazanavir
C0292818||ritonavir
C0292818||ritonavir
C1099776||tenofovir disoproxil fumarate
C1099776||tenofovir disoproxil fumarate
C0019693||HIV-infected
C1168369||viral load
C1168369||viral load
C0220908||screening
C0040808||regimen
C1145759||atazanavir
C1099776||tenofovir disoproxil fumarate
C0034656||randomized
C1145759||atazanavir
C0292818||ritonavir
C1145759||atazanavir
C1099776||tenofovir disoproxil fumarate
C0080105||subjects
C0162643||treatment failure
C0040808||regimen
C0679646||participants
C0034656||randomized
C1145759||atazanavir
C0549183||median
C0549183||median
C0005437||bilirubin
C0549183||median
C3811844||Estimated glomerular filtration rate
C3811844||Estimated glomerular filtration rate
C0442739||not change
C3811844||Estimated glomerular filtration rate
C0549183||median
C0549183||median
C0202045||fasting glucose
C0006560||C-reactive protein
C0023779||lipid
C1145759||atazanavir
C0292818||ritonavir
C1145759||atazanavir
C1099776||tenofovir disoproxil fumarate
C0040808||regimens
C0005437||bilirubin
C0232804||renal function
