C0201678||HPV detection
C1171362||protein expression
C0221912||cutaneous
C0007099||pre-invasive
C1334274||invasive carcinoma
C1257890||Croatian
C0154073||cutaneous carcinomas
C0343641||HPV infection
C0684224||reports
C0249880||p16
C0080055||p53
C0080113||pRb
C1171362||expression
C0154073||cutaneous carcinomas
C0023745||linkage
C0021344||HPV
C1171362||protein expression
C0343641||HPV infection
C0021344||HPV
C1171362||protein expression
C0007099||pre-invasive
C0007137||squamous cell carcinoma
C1257890||groups
C0449381||parameters
C2711483||formalin fixed paraffin-embedded tumor tissue
C0006079||Morbus Bowen
C0154073||preinvasive cutaneous carcinoma
C0007137||squamous cell carcinoma
C1123023||skin
C3539666||Line imuno probe assay
C3539666||Line imuno probe assay
C0487602||staining
C0249880||p16(INK4A)
C0080055||p53
C0080113||pRb
C4082130||prepared
C0200905||flow cytometry DNA content analysis
C0008041||Chi square test
C1171362||p16 expression
C0449381||parameters
C0021344||HPV
C0080055||p53
C0080055||p53
C0080113||pRb
C0080055||p53
C0249880||p16
C0042776||virus
C0154073||cutaneous carcinoma
C1257890||groups
