C0303403||(111) In
C0247947||exendin(9-39)
C0358514||derivatives
C0040399||single-photon emission computed tomography imaging
C0021670||insulinoma
C0021670||Insulinoma
C0027651||tumor
C0030281||pancreatic β-cells
C0020459||hyperinsulinemia
C0020615||hypoglycemia
C1514559||overexpression
C0378073||glucagon-like peptide-1 receptor
C0378073||glucagon-like peptide-1 receptor
C0086418||human
C0021670||insulinomas
C1167622||binding
C0358514||radiolabeled compound
C0378073||glucagon-like peptide-1 receptor
C0011923||imaging
C0027651||tumors
C0247947||Exendin(9-39)
C0030935||fragment peptide
C0082517||exendin-3
C0167117||-4
C1167622||binds
C0378073||glucagon-like peptide-1 receptor
C0021643||antagonist
C0358514||radiolabeled exendin(9-39) derivatives
C0021670||insulinoma
C0026381||imaging probes
C0020615||hypoglycemia
C0361442||indium-111 ((111)In)-benzyl-diethylenetriaminepentaacetic acid ((111)In-BnDTPA)
C0247947||exendin(9-39)
C0358514||(111)In-BnDTPA-exendin(9-39)
C0026381||probe
C0040399||SPECT imaging
C0021670||insulinoma
C0358514||natIn-BnDTPA-exendin(9-39)
C0378073||glucagon-like peptide-1 receptor
C0032105||plasma
C0037638||solvent
C0034760||solubilizer
C1515655||in vivo
C0037775||biodistribution
C0358514||(111)In-BnDTPA-exendin(9-39)
C0021670||INS-1
C0025929||tumor -bearing mice
C0243144||uptake
C0027651||tumors
C0243095||tumor -to- blood
C0243095||-to- blood
C0243095||tumor -to- muscle
C0243095||-to- muscle
C0243095||tumor -to- pancreas (T/P) ratios
C0243095||-to- blood
C0243095||-to- muscle
C0243095||-to- pancreas
C1533734||pre-administration
C0247947||nonradioactive exendin(9-39)
C4055506||accumulation
C0027651||tumor
C0030274||pancreas
C0358514||(111)In-BnDTPA-exendin(9-39)
C1533685||injection
C0378073||glucagon-like peptide-1 receptor
C0358514||(111)In-BnDTPA-exendin(9-39)
C0243144||uptake
C0027651||tumor
C0030274||pancreas
C0358514||(111)In-BnDTPA-exendin(9-39)
C3472245||SPECT/CT studies
C0025929||mice
C0027651||tumors
C0358514||(111)In-BnDTPA-exendin(9-39)
C0040399||SPECT
C0026381||molecular imaging probe
C1511790||detection
C0021670||insulinomas
