C0687133||Drug-Drug Interaction
C0033618||Protein Binding
C1533734||Administration
C0038689||Sulfamethoxazol
C0700583||Diclofenac Sodium
C0036774||Bovine Serum Albumin
C1533734||administration
C0038689||sulfamethoxazole
C0700583||diclofenac sodium
C0022885||Equilibrium dialysis method
C2603343||study
C0033618||protein binding aspects
C0038689||sulfamethoxazole
C0700583||diclofenac sodium
C0038689||Sulfamethoxazole
C1514562||binding sites
C1514562||binding sites
C0700583||Diclofenac sodium
C1514562||binding sites
C1514562||binding sites
C1514562||site-I
C0376218||warfarin sodium
C1514562||site
C1514562||high affinity site
C1514562||site-II
C0012010||diazepam
C1514562||site
C1514562||low affinity site
C1254351||drugs
C1533734||administration
C0038689||sulfamethoxazole
C0700583||diclofenac sodium
C0150312||presence
C0026381||site-I specific probe
C0700583||Diclofenac sodium
C0038689||sulfamethoxazole
C0150312||presence
C0026381||site-I specific probe
C2603343||study
C1533734||administration
C0038689||sulfamethoxazole
C0700583||diclofenac sodium
C0005767||blood
