C0422389||Opportunistic screening
C0029456||osteoporosis
C0040405||computed tomography
C0037724||Southern Europe
C0015730||Feasibility
C0220825||evaluation
C0596473||early detection
C0029456||osteoporosis
C0740692||oncologic
C0005938||bone mineral density
C0005938||bone mineral density
C0412620||abdominal computed tomography (CT) scans
C1510486||dual-energy X-ray absorptiometry
C1510486||dual-energy X-ray absorptiometry
C0412620||Abdominal CT
C1704922||images
C0029456||osteoporosis
C0005938||bone mineral density
C0015333||radiation exposure
C2603343||study
C0220825||evaluate
C0015730||feasibility
C0596473||early detection
C0029456||osteoporosis
C0005938||bone mineral density
C0005938||bone mineral density
C0412620||abdominal computed tomography (CT) scans
C0740692||oncologic
C0243095||uncalibrated
C1510486||dual-energy X-ray absorptiometry
C1510486||dual-energy X-ray absorptiometry
C1519941||validation
C0599755||Cohort
C0040405||computed tomography
C1510486||dual-energy X-ray absorptiometry
C0040405||computed tomography
C0222660||trabecular bone
C0205131||axial
C0552389||cross sections
C0549207||vertebrae
C0262431||Vertebral compression fractures
C0449911||view
C0205146||area
C0011900||diagnosing
C0029456||osteoporosis
C1443182||calculated
C0005938||bone mineral density
C0446409||vertebral level
C0029456||osteoporosis
C1510486||dual-energy X-ray absorptiometry
C0243095||uncalibrated
C0005938||bone mineral density
C0243095||uncalibrated
C0040405||computed tomography
C0029456||osteoporosis
C0005938||bone mineral density
C0262431||vertebral compression fracture
C0029456||osteoporotic
C2584897||DXA T-scores
C0412620||Abdominal CT
C1704922||images
C0029456||osteoporosis
C0005938||bone mineral density
C0015333||radiation exposure
C0243095||Uncalibrated
C0442726||detect
C0029456||osteoporosis
C0262431||spinal compression fractures
C1510486||dual-energy X-ray absorptiometry
C0740692||oncologic
