C0027410||opioid antagonist
C0053433||β-funaltrexamine
C0023810||lipopolysaccharide
C1521751||mice
C0006119||Brain pathologies
C0524851||neurodegenerative diseases
C3714514||infection
C0876926||traumatic brain injury
C0525045||mood disorders
C0012634||disorders
C0053433||beta-funaltrexamine
C0053433||β-FNA
C0037080||signaling
C0086418||human
C0004112||astrocytes
C1171362||expression
C0010813||cytokines
C0282554||chemokines
C0205100||peripherally
C1533734||administered
C0053433||β-FNA
C0023810||lipopolysaccharide
C0023810||lipopolysaccharide
C1521751||C57BL/6J mice
C0053433||β-FNA
C1533734||administered
C0023810||lipopolysaccharide
C0023810||lipopolysaccharide
C1160858||behavioral analysis
C0032105||plasma
C0006104||brains
C0021760||interleukin-6
C0021760||interleukin-6
C1313708||interferon-γ inducible protein-10
C1313708||CXCL10
C1452296||monocyte chemoattractant protein-1
C1452296||CCL2
C0014441||enzyme-linked immunosorbant assay
C0014441||enzyme-linked immunosorbant assay
C0023810||lipopolysaccharide
C0021760||interleukin-6
C1452296||CCL2
C1313708||CXCL10
C0032105||plasma
C1452296||CCL2
C1313708||CXCL10
C0006104||brain
C0053433||β-FNA
C0023810||lipopolysaccharide
C1313708||CXCL10
C1452296||CCL2
C1171362||expression
C0006104||brain
C0032105||plasma
C0023810||lipopolysaccharide
C0560560||moved
C0053433||β-FNA
C1313708||CXCL10
C1171362||expression
C0006104||brain
C0003467||anxiety
C0021760||interleukin-6
C1452296||CCL2
C0032105||plasma
C1313708||CXCL10
C1452296||CCL2
C0006104||brain
C0282554||chemokine
C1171362||expression
C0006104||brain
C0053433||β-FNA
