C0033640||Cardioprotective kinase
C0037080||signaling
C4084944||subsarcolemmal
C4235305||interfibrillar mitochondria
C1817364||caveolar structures
C0386312||caveolin-3
C1514559||overexpression
C0151744||myocardial ischemia
C0035126||reperfusion injury
C0243095||finding
C1335962||multiprotein signaling complexes
C0026237||mitochondria
C0386312||caveolin-3
C0230653||caveolae
C0082529||extracellular signal-regulated kinases 1
C0170168||2
C0082529||ERK1
C0170168||2
C0031843||function
C0018787||cardiac
C0026237||mitochondrial subpopulations
C0035126||reperfused
C0018787||hearts
C2936234||postconditioning
C2936234||postconditioning
C1882687||Rat hearts
C0022116||ischemia
C0035126||reperfusion
C2936234||postconditioning
C0232164||cardiac function
C0225828||cardiomyocytes
C1817364||caveolar structures
C0386312||caveolin-3
C0082529||mitochondrial ERK1
C0170168||2
C0014429||activation
C2936234||postconditioning
C0018787||hearts
C4084944||subsarcolemmal
C4084944||subsarcolemmal
C4235305||interfibrillar (IFM) subpopulations
C0230653||caveolae
C0667093||methyl-β-cyclodextrin
C0243095||abolished cardioprotection
C2936234||postconditioning
C0018787||hearts
C0752312||pho-ERK1/2
C0018026||gold
C0022885||labeling
C0026237||mitochondrial subpopulations
C3158983||permeability transition pore opening
C0026237||mitochondrial subpopulations
C2936234||postconditioning
C0230653||Caveolae
C0667093||methyl-β-cyclodextrin
C0243095||cardioprotective
C2936234||postconditioning
C0082529||ERK1
C0170168||2
C0026237||mitochondria
C4084944||subsarcolemmal
C0035126||reperfusion damage
C0450429||location
C0225828||cardiomyocyte
C0037080||cardioprotective signaling
C0230653||caveolae
