C0011849||Diabetes mellitus
C0018784||sensorineural hearing loss
C0282574||Brazilian Longitudinal Study of Adult Health
C0282574||ELSA-Brasil
C2603343||studies
C0011847||diabetes
C3887873||hearing loss
C2603343||studies
C0011847||diabetes
C0018784||sensorineural hearing loss
C0011847||diabetes
C3887873||hearing loss
C0150312||presence
C0587901||auditory system
C2603343||study
C0011847||diabetes
C0018784||sensorineural hearing loss
C0220825||evaluated
C0011847||diabetes
C0011900||diagnosis
C0020538||hypertension
C0011900||diagnosis
C2904588||exposure to noise
C0010362||cross-sectional study
C0220825||evaluated
C0282574||elderly Brazilian Longitudinal Study of Adult Health
C0282574||ELSA-Brasil
C0679646||participants
C0006137||São Paulo, Brazil
C0004286||audiometry testing
C0282574||ELSA-Brasil's
C0220825||baseline assessment
C0234732||Hearing thresholds
C0037819||speech test
C1457868||significantly worse
C0011847||diabetes
C0011847||diabetes
C0679646||participants
C0011847||diabetes
C0020538||hypertension
C0234732||Hearing thresholds
C1260971||occupational noise exposure
C0011847||diabetes
C0011847||diabetes
C0234732||hearing thresholds
C0020538||hypertension
C0011847||diabetes
C1457868||worse
C0234732||hearing thresholds
C3161035||models
C0020538||hypertension
