C0001563||Oral
C0455052||Bowel Preparations
C1956064||Deep Sedation
C1518527||Prospective Observational Study
C0009378||Colonoscopy
C0455052||bowel preparation
C0455052||bowel preparations
C0184511||improved
C0449719||part
C0282090||laxative
C0232478||ingested
C0035190||gastric residual volumes
C0332167||increase the risk of
C0700198||pulmonary aspiration
C2603343||study
C0220825||evaluate
C0035190||gastric residual volumes
C0455052||bowel preparation
C0232478||ingesting
C0282090||laxative
C0009378||colonoscopy
C0334910||anesthesiologist
C0033487||propofol
C1956064||deep sedation
C1518527||prospective observational study
C1282910||upper
C0014245||endoscopy
C0009378||colonoscopy
C0032483||polyethylene glycol
C0017134||lavage preparation
C0033487||propofol
C0344106||sedation
C2828094||Gastric fluid
C1282910||upper
C0014245||endoscopy
C1304686||pH measurement
C2603343||study
C0282090||laxative
C0455052||preparation
C0455052||preparation
C0035190||gastric residual volumes
C0455052||preparation
C1257890||groups
C0035190||gastric residual volumes
C1517001||expected
C0035190||gastric residual volumes
C1261322||Evaluating
C0035190||gastric residual volumes
C0232478||ingestion
C0455052||preparation
C0455052||bowel preparation
C1257890||groups
C0455052||preparation
C0455052||bowel preparations
C0455052||bowel preparations
C0455052||bowel preparation
C0040808||regimen
C0009378||colonoscopy
C0035190||gastric residual volumes
C1168034||decrease in gastric pH
