C0035363||Retrospective study
C0003617||appendiceal
C0012813||diverticulitis:
C0040405||computed tomography
C0003617||Appendiceal
C0012813||diverticulitis
C0085693||acute appendicitis
C0040405||computed tomography
C0040405||(CT
C0003617||appendiceal
C0012813||diverticulitis
C0003611||appendectomy
C2607850||institution
C0011900||diagnosed
C0003617||appendiceal
C0012813||diverticulitis
C0220825||evaluated
C0040405||computed tomography
C0012813||diverticulitis
C0243095||ratio of males to females
C0003617||appendiceal
C0150312||presence
C0012817||diverticulum
C0012817||diverticular
C0003617||peri-appendiceal
C0243095||fat stranding
C0003617||peri-appendiceal
C0005889||fluid
C0549099||perforation
C0150312||presence
C3805175||appendicolith
C0220825||evaluated
C0003617||Peri-appendiceal
C0243095||fat stranding
C0003617||appendiceal
C0003617||peri-appendiceal
C0005889||fluid
C0012813||diverticulitis
C0012813||diverticulitis
C0003617||appendiceal
C0012813||diverticulitis
C0011906||differential diagnosis
C0085693||acute appendicitis
C0085693||acute appendicitis
C0150312||presence
C0012817||diverticulum
C0040405||computed tomography
C0003617||peri-appendiceal
C0524462||extra-luminal
C0005889||fluid
C0003617||peri-appendiceal
C0243095||fat stranding
C0003617||appendix
C0442115||intraluminal
