C0392209||nutrition
C1305855||BMI
C0001792||older
C0034391||Queensland
C0008679||chronic disease
C0001792||older adults
C2603343||study
C1517323||fruit and vegetable
C1305855||BMI
C1706244||summary
C0243095||indicator score
C0001792||older
C2700446||self-report
C0034391||Queensland
C0681818||Social Survey
C0034980||Regression analyses
C0001792||older
C0243095||examine
C0001792||older adults
C0001792||Older adults
C1271941||intakes of fruit and vegetable
C1513916||not
C0337672||non-smokers
C0001792||older adults
C0243095||watch less than 14 hours of TV per week
C0001792||older adults
C0001792||older
C0243095||watching less than 14 hours of TV per week
C0001792||older adults
C1517323||fruit and vegetable
C1513916||not
C0001792||older adults
C0442797||decreasing
