C0237617||Feeding Habits
C3714514||Infection
C1004432||Water Bugs
C0317759||Mycobacterium ulcerans
C0317759||Mycobacterium ulcerans
C0317759||Mycobacterium ulcerans
C0449411||causative agent
C0085568||Buruli ulcer
C0150312||present
C0332464||wide
C0014406||environments
C0017446||tropical regions
C0947630||studies
C0012634||disease
C3714514||infection
C0003062||animals
C0317759||Mycobacterium ulcerans
C0086418||human
C1705920||species
C0014406||environment
C0565987||ecological niche
C0012655||susceptibility
C0439663||infected
C1488019||Naucoridae
C0439663||infected
C0003062||animals
C0439663||infected
C0317759||Mycobacterium ulcerans
C0947630||studies
C3714514||infection
C0242781||transmission
C1705920||host carrier sister species
C0565987||ecological niches
C0565987||ecological niche
C1488019||Naucoridae
C3714514||infection
C0317759||Mycobacterium ulcerans
C0565987||ecological niche
C0565987||ecological niche
C1004432||water bug species
C0012655||susceptibility
C0317759||Mycobacterium ulcerans
C1519068||phylogenetic comparative analyses
C0150098||dataset
C1004432||water bugs
C0205145||sites
C0006802||Cameroon
C0001740||central Africa
C0456984||results
C0317759||Mycobacterium ulcerans
C0439663||infects
C1007274||Belostomatidae
C1488019||Naucoridae
C0032098||vegetation
C1705920||sister species
C1004432||water bugs
C0317759||Mycobacterium ulcerans
