C0285499||G Protein-Coupled Receptor Kinase 3
C0033634||Protein Kinase C
C1158886||Phosphorylate
C0205108||Distal
C1707271||C-Terminal Tail
C0524914||Chemokine Receptor
C0250501||CXCR4
C0597704||Recruitment
C0167464||β-Arrestin
C0031715||Phosphorylation
C0682972||G protein-coupled receptors
C0682972||G protein-coupled receptors
C0037083||cell signaling
C1327622||regulation
C0599748||tandem mass spectrometry
C1519063||phosphorylation sites
C0205108||distal
C1707271||C-terminal tail
C0524914||chemokine receptor
C0250501||CXCR4
C0031715||phosphorylated
C1519254||serines (Ser) 346
C1519254||347 (Ser-346/7)
C0250501||CXCR4
C0031715||phosphorylated
C2987634||agonist
C0218504||CXCL12
C0250501||CXCR4
C1254351||pepducin
C3851300||ATI-2341
C3851300||ATI-2341
C0752348||Gαiβγ
C2610863||heterotrimer
C0250501||CXCR4
C2987634||agonist
C0031715||phosphorylation
C1519254||Ser-346/7
C0218504||CXCL12
C2350567||Knockdown
C1366490||G protein-coupled receptor kinase (GRK) 2
C1332030||GRK3
C1333700||GRK6
C0218504||CXCL12
C0031715||phosphorylation
C1519254||Ser-346/7
C1332030||GRK3
C2350567||knockdown
C0033634||protein kinase C
C0033634||(PKC)
C0597298||isoforms
C0256371||PKCα
C0031715||phosphorylation
C1519254||Ser-346/7
C0218504||CXCL12
C3851300||ATI-2341
C1332030||GRK3
C0033634||protein kinase C
C0031715||phosphorylation
C1519254||Ser-346/7
C0597704||recruitment
C0167464||β-arrestin
C0250501||CXCR4
C0256813||PKCζ
C2352110||CXCR4
C1158886||phosphorylation
C0037083||signaling
C0250501||CXCR4
C0003139||antagonist
C2603343||studies
C0036720||Ser-346
C0036720||7
C0104230||arrestin
C0597704||recruitment
C1709852||receptor desensitization
C0250501||CXCR4
C0472817||WHIM syndrome
