C0751973||Proteome
C0444680||Profiling
C1008086||Paulownia
C0242437||Seedlings
C0439663||Infected
C1004784||Phytoplasma
C1004784||Phytoplasma
C0021585||insect
C0012634||witches' broom disease
C0032098||plants
C1008086||Paulownia
C0012634||witches' broom
C0012634||diseases
C1008086||Paulownia
C1148560||molecular mechanisms
C0012634||disease
C4086963||transcriptome sequencing
C0033684||protein
C0022885||isobaric tags for relative and absolute quantitation
C0025706||methyl methane sulfonate
C0025706||methyl methane sulfonate
C1008086||Paulownia
C0242437||seedlings
C1457887||symptoms
C0012634||witches' broom
C2603343||study
C1327760||transcriptomic-assisted proteomic technique
C0936012||analyze
C0033684||protein
C1004784||phytoplasma
C0439663||infected
C1008151||Paulownia tomentosa
C0242437||seedlings
C1004784||phytoplasma
C0439663||infected
C0242437||seedlings
C0025706||methyl methane sulfonate
C0242437||seedlings
C0033684||proteins
C0033684||proteins
C1008086||Paulownia
C0012634||witches' broom disease
C1457887||dwarf symptom
C3178867||cell
C0037080||signal pathways
