C0005953||Bone marrow
C1257975||mesenchymal stem cells
C0011379||Treated dentin matrix
C1305305||biological root
C0011379||Treated dentin matrix
C0011379||Treated dentin matrix
C0597587||scaffolding material
C0028877||odontogenic induction ability
C0038250||stem cells
C0038250||dental stem cells
C0007634||seed cell
C1257975||Jaw bone marrow mesenchymal stem cell
C1257975||Jaw bone marrow mesenchymal stem cell
C0038250||stem cell
C0040426||teeth
C0022359||jaws
C1257975||JBMMSCs
C0007634||seed cell
C0596171||tooth tissue engineering
C0028877||odontogenic
C0029433||osteogenic potential
C1257975||JBMMSCs
C0007634||cells
C0011379||Treated dentin matrix
C0185115||extraction
C0011379||Treated dentin matrix
C1515655||in vivo
C0936012||analyzed
C0032520||PCR
C0005863||Western Blotting
C0344441||histology
C0032520||PCR
C0005863||Western Blotting
C0243095||odontogenic and osteogenic makers
C0011379||Treated dentin matrix
C0185115||extraction
C1515655||In vivo
C1257975||JBMMSCs
C0028877||odontogenic
C0344441||histological examination
C0181074||harvested grafts
C0040300||bone-like tissue
C0007613||osteogenic differentiation ability
C1257975||JBMMSCs
C0011379||Treated dentin matrix
C0038250||stem cells
C0007634||seed cells
C0596171||tooth root tissue engineering
