C3865703||Mapping mitochondrial heteroplasmy
C0023601||Leydig tumor
C1113652||laser capture micro-dissection
C0201699||cycling temperature capillary electrophoresis
C1621966||growth
C0431085||tumor cells
C0026882||mutations
C0521447||nuclear
C1819716||mitochondrial genomes
C0027651||Tumors
C0243095||non-tumor cells
C2315666||mitochondrial mutation
C0007634||founding cell
C0007590||cell division
C1113652||Micro-anatomical dissection
C0027651||tumor
C1510438||assays
C2315666||mitochondrial point mutations
C1621966||growth
C0442726||detect
C2315666||mitochondrial mutations
C0440744||human tissues
C0027651||tumors
C0026882||mutations
C0005516||markers
C0027651||tumor
C0441621||sampled
C0184924||punch biopsy
C0441633||scanned
C0162326||sequences
C2986491||mutational hotspots
C1819716||mitochondrial genome
C0027651||tumor
C0596901||membranes
C1113652||Laser capture micro-dissection
C0683230||DNA amplification
C0201699||cycling temperature capillary electrophoresis
C0201699||cycling temperature capillary electrophoresis
C0243095||laser captured
C0026237||mitochondrial
C0596988||mutant
C0039590||testicular tumors
C0023601||Leydig tumor
C3830527||detectable
C0162735||point mutations
C0026882||C → T mutation
C0026882||T → C mutation
C0027651||tumor
C0441621||sampled
C1113652||laser capture micro-dissection
C0596988||mutant
C0162326||sequences
C0596988||mutant
C0026882||mutations
C1621966||growing
C0027651||tumor
C0150312||present
C0017428||genome
C0007634||founding cell
C1113652||Laser capture micro-dissection
C0027651||tumor
C0201699||cycling temperature capillary electrophoresis
C0162735||point mutation
C1510438||assays
C0079435||maps
C0026237||mitochondrial
C0026882||mutational
C0086418||human
C0027651||tumors
