C1315028||Teleophthalmology
C0438670||image-based navigated retinal laser therapy
C0730285||diabetic macular edema
C0395565||retinal telephotocoagulation
C1148554||determine
C0395565||retinal telephotocoagulation
C0599880||treatment plan
C0730285||diabetic macular edema
C1709709||Prospective, interventional cohort study
C0205145||sites
C0015392||eyes
C0080105||subjects
C0730285||diabetic macular edema
C0948675||navigated focal laser photocoagulation
C0599880||teleretinal treatment plan
C0442592||Clinic
C0019994||King Khaled Eye Specialist Hospital
C0036243||Riyadh, Saudi Arabia
C0442592||Clinic
C0019994||Palmetto Retina Center
C0041703||West Columbia, SC, USA
C1704254||image
C0599880||treatment plans
C0441510||laser photocoagulation
C0442592||clinic
C2603343||study
C1704254||image
C0441510||navigated laser photocoagulation
C0080105||subjects
C0730285||diabetic macular edema
C0443203||distant
C0442592||clinics
C1690532||best-corrected visual acuity
C1690532||best-corrected visual acuity
C0243095||central retinal thickness
C0243095||central retinal thickness
C3876157||spectral-domain optical coherence tomography
C0850168||treatment
C0599880||teleretinal treatment plan
C0015392||eyes
C1690532||best-corrected visual acuity
C0850168||treatment
C0243095||central retinal thickness
C0184511||improved
C0850168||treatment
C0015392||eyes
C0242420||retinal edema
C0441510||laser photocoagulation
C0015392||eyes
C0234632||visual acuity loss
C0850168||treatment
C2603343||study
C0395565||retinal telephotocoagulation
C0730285||diabetic macular edema
C0014680||safety
C0162648||telemedicine
C0850168||navigated retinal laser treatments
C0442527||geographical
