Randomized	B:C0206035
control	I:C0206035
trial	I:C0206035
investigating	O
the	O
efficacy	O
of	O
a	O
computer	O
-	O
based	O
intolerance	O
of	O
uncertainty	O
intervention	O
.	O

Intolerance	O
of	O
uncertainty	O
(	O
IU	O
)	O
is	O
an	O
important	O
transdiagnostic	B:C0243095
variable	I:C0243095
within	O
various	O
anxiety	O
and	O
mood	O
disorders	I:C0525045
.	O

Intolerance	O
of	O
uncertainty	O
(	O
IU	O
)	O
is	O
an	O
important	O
transdiagnostic	O
variable	I:C0243095
within	O
various	O
anxiety	B:C0003469
and	O
mood	O
disorders	I:C0525045
.	O

Intolerance	O
of	O
uncertainty	O
(	O
IU	O
)	O
is	O
an	O
important	O
transdiagnostic	O
variable	I:C0243095
within	O
various	O
anxiety	O
and	O
mood	B:C0525045
disorders	I:C0525045
.	O

Theory	O
suggests	O
that	O
individuals	B:C0027361
high	O
in	O
IU	O
interpret	O
ambiguous	O
information	O
in	O
a	O
more	O
threatening	O
manner	O
.	O

Theory	O
suggests	O
that	O
individuals	O
high	O
in	O
IU	O
interpret	O
ambiguous	O
information	O
in	O
a	O
more	O
threatening	B:C0015726
manner	O
.	O

A	O
parallel	O
line	O
of	O
research	B:C0035168
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	O
training	I:C1868940
and	O
previous	O
research	O
aimed	O
at	O
modifying	O
negative	O
interpretations	I:C0459471
through	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

A	O
parallel	O
line	O
of	O
research	O
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	B:C1868940
training	I:C1868940
and	O
previous	O
research	O
aimed	O
at	O
modifying	O
negative	O
interpretations	I:C0459471
through	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

A	O
parallel	O
line	O
of	O
research	O
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	O
training	I:C1868940
and	O
previous	O
research	B:C0035168
aimed	O
at	O
modifying	O
negative	O
interpretations	I:C0459471
through	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

A	O
parallel	O
line	O
of	O
research	O
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	O
training	I:C1868940
and	O
previous	O
research	O
aimed	O
at	O
modifying	O
negative	B:C0459471
interpretations	I:C0459471
through	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

A	O
parallel	O
line	O
of	O
research	O
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	O
training	I:C1868940
and	O
previous	O
research	O
aimed	O
at	O
modifying	O
negative	O
interpretations	I:C0459471
through	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

A	O
parallel	O
line	O
of	O
research	O
has	O
shown	O
that	O
interpretive	O
biases	O
can	O
be	O
modified	O
through	O
cognitive	O
training	I:C1868940
and	O
previous	O
research	O
aimed	O
at	O
modifying	O
negative	O
interpretations	I:C0459471
through	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
(	O
Cognitive	B:C0841584
Bias	I:C0841584
Modification	I:C0841584
)	O
has	O
yielded	O
promising	O
results	O
.	O

Despite	O
these	O
findings	B:C0243095
,	O
no	O
research	O
to	O
date	O
has	O
examined	O
the	O
efficacy	O
of	O
an	O
IU	O
-	O
focused	O
Cognitive	O
Bias	I:C0841584
Modification	I:C0841584
paradigm	O
.	O

Despite	O
these	O
findings	O
,	O
no	O
research	B:C0035168
to	O
date	O
has	O
examined	O
the	O
efficacy	O
of	O
an	O
IU	O
-	O
focused	O
Cognitive	O
