C0079595||Multimodality imaging
C0011900||diagnosis
C0865681||chronic myocarditis
C2700378||preserved left ventricular ejection fraction
C0865681||myocarditis with preserved left ventricular ejection fraction
C0013524||2D speckle-tracking echocardiography
C0865681||chronic myocarditis
C0865681||myocarditis
C2700378||preserved left ventricular (LV) ejection fraction
C0865681||myocarditis with preserved left ventricular ejection fraction
C2603343||study
C0013524||2D speckle-tracking echocardiography
C0013524||speckle-tracking echocardiography
C0412692||cardiac magnetic resonance imaging
C0412692||cardiac magnetic resonance imaging
C0011900||diagnosis
C0865681||myocarditis with preserved left ventricular ejection fraction
C0936012||analyzed
C0865681||suspected MCpEF
C0189785||endomyocardial biopsy
C0189785||endomyocardial biopsy
C0027059||chronic myocardial inflammation
C0189785||endomyocardial biopsy
C0865681||myocarditis with preserved left ventricular ejection fraction
C1257890||control group
C0013524||2D STE
C0412692||cardiac magnetic resonance imaging
C0189785||endomyocardial biopsy
C0865681||myocarditis with preserved left ventricular ejection fraction
C0178314||LV global longitudinal systolic strain
C0178314||global longitudinal systolic strain
C1257890||controls
C0178314||global longitudinal systolic strain
C0178314||global longitudinal systolic strain
C0011900||diagnostic performance
C0442726||detect
C0865681||myocarditis with preserved left ventricular ejection fraction
C0412692||cardiac magnetic resonance imaging
C0178314||global longitudinal systolic strain
C0011900||diagnostic performance
C0412692||cardiac magnetic resonance imaging
C0442726||detect
C0865681||myocarditis with preserved left ventricular ejection fraction
C2603343||study
C0178314||global longitudinal systolic strain
C0013524||2D STE
C0011900||diagnostic evaluation
C0865681||suspected chronic myocarditis
C2700378||preserved LV ejection fraction
C0865681||myocarditis with preserved left ventricular ejection fraction
