C0231187||decompensatory
C0225828||cardiomyocyte
C0596235||Ca(2+)
C0018787||hearts
C0520863||diastolic dysfunction
C0003483||aortic
C0185014||banding
C1155939||cellular level
C1383860||cardiac hypertrophy
C0022009||ionic channel
C0085193||pump
C2603343||studies
C0022009||channels
C0085193||pump
C0007613||cellular scale functionality
C0920751||cardiac cell
C0026344||models
C1519941||validated
C0679083||simulate
C0013865||electrophysiology
C0006675||calcium
C0596981||myocytes
C0086893||control sham operated rats
C0003483||aortic
C0185014||banded
C0034721||rats
C0520863||diastolic dysfunction
C0037080||ionic pathway
C0006675||calcium
C0288263||L-type Ca(2+) channel
C0916181||sarco/endoplasmic reticulum Ca(2+) ATPase
C0012000||diastolic
C0596235||Ca(2+)
C0596235||Ca(2+)
C1171362||expression
C0596235||Ca(2+)
C0600115||modelling
C0033684||protein
C0003483||aortic
C0185014||banding procedure
C0920751||cells
C0596235||Ca(2+)
C1326962||homeostasis
C0749225||systolic dysfunction
C0919821||Elevated left ventricular afterload
C3495916||myocardial hypertrophy
C0520863||diastolic dysfunction
C0007634||cellular
C0006675||calcium
C0007634||cellular
C0022009||ionic channels
C0085193||pumps
C0596235||Ca(2+)
C0007613||subcellular processes
C1446409||positive
C0205160||negative
C0920751||cardiac cell
C0679083||simulate
C0013865||electrophysiology
C0006675||calcium
C0596981||myocytes
C0086893||control rats (SHAM)
C0003483||aortic
C0185014||banded
C0086893||rats
C0520863||diastolic dysfunction
C0026344||model
C1519941||validated
C0037080||ionic pathway
C0006675||calcium
C0288263||L-type Ca(2+) channel
C0288263||L-type Ca(2+) channel
C0916181||sarco/endoplasmic reticulum Ca(2+) -ATPase
C0916181||sarco/endoplasmic reticulum Ca(2+) -ATPase
C0012000||diastolic
C0596235||Ca(2+)
C0003483||aortic
C0185014||banding
C0026344||model
C0596235||Ca(2+)
C0288263||L-type Ca(2+) channel
C0012000||diastolic
C0596235||Ca(2+)
C0916181||sarco/endoplasmic reticulum Ca(2+) -ATPase
C0086893||SHAM model
C1326962||ionic homeostasis
C0026344||models
C0026344||models
C0037080||ionic pathway
C0003483||aortic
C0185014||banding
C0034721||rats
C0596235||Ca(2+)
C0031843||function
C0442710||systolic function
C0012000||diastolic
C0596235||Ca(2+)
