C0681867||controlled study
C4084924||clinical evaluation
C0025663||methods
C0430022||intra-oral radiography
C0034575||analogue
C0430022||digital intra-oral radiography
C0442104||interdental
C0920316||documentation
C0043299||radiographic
C0220825||assessment
C1514821||registration
C0442104||interdental
C0220825||assessment
C0442104||interdental
C0205145||sites
C0031099||periodontitis
C2911685||Evaluation methods
C0034575||analogue
C0202592||digital intra-oral radiography
C0430022||bone sounding
C1266913||flap
C0439775||elevation
C0025082||examiners
C0220825||evaluated
C0034575||radiographs
C0243095||underestimation
C2911685||evaluation methods
C0034575||analogue radiography
C0012249||digital radiography
C0430022||bone sounding
C1266913||flap
C0439775||elevation
C0043299||Radiographic
C0243095||underestimation
C0927672||pre)molar region
C0205125||depth
C0871685||clinicians
C0450093||huge
C0034575||analogue radiography
C0012249||digital radiography
C2911685||evaluation methods
C0430022||Bone sounding
C0202592||intra-oral radiographs
C0205125||Deep
C0927672||(pre)molar region
C0202592||intra-oral radiography
C0430022||Bone sounding
C0442104||interdental
